"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"57989",0,0,1,8,0,59,0,1909,0,1,96959.8515625
"58040",1,0,1,13,2100,56,64220,5863,0,1,94601
"58103",1,0,1,17,1800,31,37050,4422,0,0,48782.5
"58141",0,0,1,11,2365,30,32868.2890625,261,2,0,42748.2890625
"58183",1,0,1,13,2420,28,54340,1881,2,1,72420.3984375
"58192",1,0,1,12,3089,30,122265,1233,2,1,123623.5
"58198",0,0,1,12,3,50,49.4000015258789,1674,1,1,370178.90625
"58303",1,1,0,13,1755,35,49153,5153,2,1,86203
"58354",1,0,1,16,2585,40,129675,5231,3,1,132639
"58364",0,0,1,12,512,26,9386,2433,1,1,51993.5
"58373",0,0,1,12,1750,39,19760,775,1,1,51870
"58400",1,0,1,13,3246,26,66690,5277,3,1,66764.1015625
"58428",0,0,1,12,2328,36,25935,991,3,0,31257.849609375
"58454",0,0,1,12,0,44,0,1966,2,1,114361
"58458",0,0,1,11,0,55,0,1260,0,0,3663.01000976562
"58463",1,0,1,17,1832,36,102613.6796875,3205,1,1,116425.921875
"58474",1,0,1,12,2304,45,86450,3235,2,1,145977
"58475",1,0,1,12,2272,29,58045,6154,2,1,61132.5
"58482",0,0,1,14,0,40,0,5570,4,1,230945
"58493",0,0,1,12,1000,47,19760,6178,1,1,154375
"58542",0,0,1,6,1638,60,23642.83984375,45,0,0,23642.83984375
"58598",1,1,0,15,3500,33,54340,5602,3,1,61750
"58606",1,0,1,9,2496,58,27782.560546875,2347,1,1,51870
"58608",1,0,1,12,1112,30,23465,1818,3,1,50635
"58612",1,0,1,12,2000,34,17907.5,471,2,1,61256
"58615",0,0,1,13,8,40,247,2152,3,1,131898
"58625",0,0,1,12,782,33,8645,3417,3,1,43225
"58647",0,0,1,12,200,50,2223,3715,2,1,69868.890625
"58710",1,1,0,15,1865,34,51870,1581,0,0,51870
"58721",1,0,1,17,2026,32,77805,2666,1,1,79040
"58789",1,0,1,14,2072,28,40755,1248,1,1,83053.75
"58804",1,0,1,17,2003,34,61750,5579,2,1,65949
"58819",0,1,0,10,2028,49,34834.41015625,1288,1,0,72304.3125
"58836",0,0,1,14,1186,29,27170,5952,1,1,75211.5
"58845",0,0,1,17,0,36,0,4510,1,1,122430.4921875
"58872",1,0,1,17,1824,33,98800,167,0,1,160920.5
"58882",0,1,0,12,0,29,0,1292,1,0,30054.9609375
"58924",1,0,1,8,1989,43,36803,6300,2,1,66690
"58960",1,0,1,12,973,30,22938.890625,4334,0,0,31336.890625
"59014",0,0,1,16,0,35,0,3467,3,1,82251
"59019",1,0,1,8,2256,58,40755,6199,0,1,48844.25
"59020",0,0,1,12,1964,36,13214.5,149,1,0,22304.099609375
"59042",1,0,1,13,1994,34,71630,5618,4,1,75873.4609375
"59056",1,0,1,12,1949,52,64220,2012,0,1,77854.3984375
"59098",0,0,1,12,2048,30,17537,5743,0,0,17537
"59144",0,0,1,12,360,26,3458,1797,3,1,52257.7890625
"59186",0,0,1,12,0,31,0,5057,1,1,91390
"59192",1,0,1,12,1635,42,49523.5,5111,2,1,87166.296875
"59198",1,0,1,12,1000,53,12350,3047,0,1,61957.48046875
"59219",0,0,1,12,1000,25,14820,2820,1,1,92625
"59224",1,0,1,17,2640,29,66690,3430,3,1,94354
"59251",1,0,1,16,2988,29,18510.1796875,1139,0,1,64625.078125
"59258",1,0,1,12,2327,50,40508,5667,0,1,122635.5
"59289",0,0,1,12,1880,50,24700,2549,1,1,106951
"59305",0,0,1,17,320,35,2079.73999023438,3205,1,1,116425.921875
"59342",0,1,0,9,4848,49,31922.279296875,6589,1,0,70148
"59349",0,0,1,15,0,34,0,1468,2,1,13609.7001953125
"59410",1,1,0,12,1056,30,9929.400390625,5938,1,1,29617.76953125
"59417",1,0,1,14,1940,35,57753.5390625,761,2,1,62323.0390625
"59445",1,1,0,12,2124,40,46930,2769,1,1,64220
"59463",0,0,1,12,0,37,0,1915,2,1,85956
"59468",1,0,1,13,2380,43,91390,986,2,0,91637
"59529",1,0,1,8,1840,56,59280,5920,0,1,74841
"59538",1,0,1,16,1980,28,91390,4126,0,1,93613
"59552",0,0,1,12,850,32,2470,5950,4,1,74100
"59571",1,0,1,12,1950,25,71630,1290,0,1,99219.8984375
"59573",1,1,0,12,2080,30,12908.2197265625,3651,1,1,32544.720703125
"59621",1,0,1,12,2072,27,32110,2110,2,1,32287.83984375
"59648",0,0,1,15,749,31,16549,3695,2,1,63973
"59662",1,0,1,17,2102,33,76570,2169,1,1,89784.5
"59673",1,0,0,8,2531,25,29640,3889,3,1,39520
"59681",0,0,1,13,2220,39,39520,3748,0,0,79040
"59695",0,0,1,16,0,37,0,488,3,1,153140
"59708",0,0,1,12,1640,47,54340,2686,2,1,171832.953125
"59717",0,0,1,12,1624,60,18772,957,0,0,18772
"59723",0,0,1,12,1837,40,23465,1571,2,0,26616.720703125
"59728",0,1,0,14,1500,28,6362.72021484375,6716,2,0,6757.919921875
"59741",0,0,1,17,1760,41,65455,1317,0,0,65702
"59742",0,0,1,12,1020,32,7410,1903,2,1,48412
"59747",0,0,1,17,1692,47,24453,1343,0,0,24453
"59750",0,0,1,17,1741,31,32591.650390625,3656,0,0,33940.26953125
"59758",1,0,1,12,2160,34,56810,439,5,1,65739.046875
"59806",0,0,1,12,0,60,0,5246,0,1,42731
"59809",1,0,1,11,1880,53,41990,605,1,1,74939.796875
"59811",1,0,1,17,2415,39,98800,458,2,1,104172.25
"59821",0,0,1,16,1232,28,22304.099609375,2614,1,1,80522
"59825",0,0,1,12,2375,47,78546,1282,0,1,200070
"59896",1,0,1,12,1680,60,61750,2180,0,1,104975
"59907",1,0,1,9,2281,40,59280,1008,3,1,97071
"59916",1,0,1,16,1440,29,45003.3984375,4989,1,1,93860
"59970",1,0,1,11,3297,43,58981.12890625,430,3,1,60710.12890625
"60007",1,0,1,14,2005,28,27170,6091,0,1,68789.5
"60011",0,0,1,12,792,29,7410,622,0,1,45201
"60031",1,0,1,9,1440,40,14820,6635,1,1,86837.7890625
"60032",0,0,1,14,1816,51,37050,3451,0,1,101208.25
"60033",1,0,1,12,1948,32,64825.1484375,2329,4,1,79200.546875
"60040",0,0,1,12,237,32,2470,2040,2,1,79059.7578125
"60058",0,1,0,9,0,26,0,828,4,0,5928
"60071",0,0,1,16,968,43,10868,3544,2,1,136084.65625
"60072",0,0,1,8,0,59,0,786,1,0,61411.609375
"60080",1,0,1,12,2436,41,46492.80859375,2002,3,1,105975.3515625
"60094",0,1,0,12,1960,40,24882.779296875,3533,0,0,47144.890625
"60098",1,0,1,11,1654,27,37494.6015625,646,0,1,64462.05859375
"60102",1,0,1,12,2205,35,46930,834,2,1,66443
"60103",0,0,1,13,0,45,0,5795,1,1,59398.55859375
"60196",1,0,1,17,1968,30,66534.390625,2833,2,1,68409.1171875
"60224",0,0,1,15,1526,35,19480.890625,2390,0,0,27456.51953125
"60225",0,0,1,17,1448,32,43225,4107,0,1,50980.80078125
"60265",0,0,1,14,336,51,1235,5064,0,1,60601.44921875
"60302",1,1,0,9,2388,34,17290,6162,0,0,23218
"60325",1,0,1,13,2448,35,61750,4173,3,1,73606
"60341",1,0,1,12,0,39,0,632,5,1,22598.029296875
"60343",0,0,0,14,960,32,0,5415,0,0,29289.259765625
"60353",1,0,1,9,1760,59,46930,5795,1,1,59398.55859375
"60354",0,0,1,13,1960,33,40475.890625,4782,0,1,88090.078125
"60370",0,0,1,12,780,36,7410,5112,3,1,84103.5
"60380",0,0,1,12,2306,35,16615.689453125,2001,2,0,32917.69140625
"60395",0,0,1,16,1000,29,17290,3971,1,1,76570
"60413",0,0,1,12,1952,31,29146,958,2,1,90599.6015625
"60466",1,0,1,12,1855,32,62219.30078125,5998,0,1,77236.8984375
"60467",0,0,1,12,2000,54,18263.1796875,927,0,1,42693.94921875
"60490",1,0,1,15,1900,34,55822,3302,0,1,70024.5
"60494",1,0,1,16,2205,41,103740,2592,0,0,111150
"60529",0,0,1,16,0,40,0,4530,1,0,106259.3984375
"60530",1,0,1,16,2348,44,111335.25,1342,2,1,115102
"60542",0,0,1,12,0,43,0,6546,2,1,148694
"60578",0,0,1,13,2064,44,23465,3410,2,0,64714
"60579",0,1,0,12,1885,30,13338,988,2,1,56810
"60599",0,0,1,12,40,35,479.179992675781,1289,2,1,50180.51953125
"60601",1,0,1,12,2160,49,64879.48828125,319,1,1,69797.2578125
"60625",1,0,1,14,2272,28,74100,3344,3,1,74100
"60641",0,0,1,12,0,36,0,1126,2,1,106210
"60675",0,0,1,12,0,43,0,3575,2,1,82992
"60687",0,0,1,12,652,26,9880,1159,3,1,63325.859375
"60703",0,0,1,13,1500,33,25626.25,583,3,1,98800
"60712",0,0,1,12,1020,27,6496.10009765625,231,1,1,62231.6484375
"60714",0,0,1,12,2000,34,35815,1308,2,1,144495
"60722",1,0,1,17,1944,48,54340,974,1,1,75285.6015625
"60747",0,0,1,12,1140,27,37050,3757,1,1,106704
"60763",1,0,1,17,2486,44,98800,433,2,1,113126
"60824",1,0,1,11,1974,50,66690,2106,0,1,131404
"60840",0,0,1,12,690,53,12844,470,0,1,633224
"60859",1,0,1,17,2880,36,45695,5247,0,1,98800
"60876",1,0,1,12,2100,43,19760,5694,1,1,45783.921875
"60907",1,0,1,16,2657,37,37245.12890625,5302,2,1,89300.3828125
"60933",0,0,1,16,1110,27,7410,769,0,1,15682.0302734375
"60972",0,0,1,16,1620,54,46930,445,1,1,109544.5
"60995",1,0,1,17,4029,27,49400,5735,1,1,83980
"61058",0,0,1,12,980,44,24700,4310,1,1,103137.3203125
"61069",1,1,0,7,1105,50,6824.60986328125,6397,0,0,6824.60986328125
"61137",0,0,1,16,0,34,0,1568,4,1,22477
"61189",0,0,1,12,1776,42,39660.7890625,109,0,1,104723.0625
"61230",1,0,1,12,1910,26,41002,1910,0,0,45695
"61260",0,0,1,12,1764,57,22230,5968,0,1,60021
"61261",1,0,1,14,2054,32,140283.65625,649,1,1,146431.484375
"61309",0,0,1,12,1935,45,22230,5642,0,1,125970
"61312",0,0,1,12,0,37,0,1342,2,1,115102
