"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"35080",1,0,1,10,4,9,1924,2233,53,73000,2176,0,1,75920,30,0.5,1095,0,1095,0,0,0,0,0,8,8,0,0,0,0,0,4,36,NA,33,0,1,1,0
"35090",1,1,0,6,12,11,1943,2200,33,NA,4308,0,0,33127.3984375,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,0
"35098",1,0,1,12,6,11,1951,2166,27,51100,3775,2,1,60590,3,0.600000023841858,0,0,0,0,0,0,0,0,12,12,127750,51100,0,0,0,3,32,NA,31,0,1,1,0
"35099",1,0,1,9,7,6,1942,1985,35,43800,5893,5,1,43800,16,1.39999997615814,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,47,NA,55,0,1,1,0
"35120",0,1,0,14,12,9,1918,2000,58,NA,78,0,NA,95265,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,0
"35125",0,0,1,16,10,12,1945,1600,30,NA,1369,0,0,102200,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,10,12,0,0,0,0,0,2,22,NA,NA,NA,NA,NA,0
"35163",0,0,1,16,3,11,1932,1908,46,45260,1460,0,1,78110,24,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,NA,87,0,1,1,0
"35208",1,1,0,14,4,8,1941,640,37,9928,5278,3,1,32375.5,17,1,4927.5,0,4927.5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,1,NA,0,0,1,0
"35214",0,0,1,6,6,11,1920,0,57,0,2224,0,1,51465,15,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"35220",0,0,1,17,11,11,1927,1820,50,61685,2203,0,1,174105,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
