"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"58475",1,0,1,12,7,8,1952,2249,25,36500,2068,1,1,36500,5,0.5,0,0,0,0,0,0,0,0,12,4,29200,14600,0,0,0,4,5,NA,51,0,1,1,0
"58482",0,0,1,14,8,12,1941,0,36,0,1741,4,1,251485,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"58493",0,0,1,12,2,12,1935,2012,43,43800,2604,0,1,168265,10,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"58542",0,0,1,6,11,6,1924,2390,55,32850,5334,0,0,32850,20,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,42,0,1,1,0
"58574",1,0,1,12,3,9,1950,2172,28,51100,1268,1,1,72343,5,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,30,0,1,1,0
"58579",1,0,1,16,7,13,1917,924,60,112420,596,0,1,115522.5,37,2,0,3102.5,3102.5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,0,0,1,0
"58598",1,1,0,15,3,9,1949,2328,29,35405,78,0,0,95265,9,0.600000023841858,0,0,0,0,0,0,0,0,NA,12,131400,NA,0,0,0,2,12,NA,55,0,1,1,0
"58606",1,0,1,9,8,8,1924,3060,54,14709.5,4768,2,1,32850,34,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,11,0,1,1,0
"58608",1,0,1,12,2,8,1952,1988,26,37230,1809,2,1,37814,6,0.600000023841858,584,0,584,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,33,0,1,1,0
"58612",1,0,1,12,12,11,1947,880,30,29200,1486,2,1,52195,10,0.800000011920929,0,2920,2920,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,51,0,1,1,0
"58615",0,0,1,13,1,11,1942,0,36,0,2730,3,1,156950,4,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,NA,NA,NA,NA,NA,1
"58625",0,0,1,12,11,7,1948,1480,29,2555,365,3,1,39055,6,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"58647",0,0,1,12,4,12,1932,0,45,0,1529,4,1,115292.546875,4,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"58664",0,0,1,12,11,11,1936,1500,41,9125,3904,3,NA,91615,11,1.60000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"58710",1,1,0,15,4,8,1947,1927,30,45260,1779,0,0,45260,11,0.300000011920929,0,0,0,0,0,0,0,0,12,NA,NA,21900,0,NA,0,3,19,NA,56,0,1,1,0
"58721",1,0,1,17,1,7,1950,2760,28,89425,4728,0,1,102382.5,3,0.5,0,0,0,0,0,0,0,0,12,8,71540,14600,0,0,0,3,41,NA,88,0,1,1,0
"58759",0,NA,NA,9,NA,9,NA,0,42,0,4738,2,NA,21170,12,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"58804",1,0,1,17,11,11,1947,832,30,25550,5574,2,1,25860.25,11,0.5,0,0,0,0,0,0,0,0,12,NA,NA,211.699996948242,0,NA,0,2,28,NA,87,0,1,1,0
"58819",0,1,0,10,8,0,1932,2144,45,35094.75,2505,1,0,66119.75,35,0.600000023841858,0,0,0,0,0,0,5475,0,NA,NA,NA,NA,0,NA,0,3,9,NA,43,0,1,1,0
"58836",0,0,1,14,6,13,1952,1472,25,38325,3335,0,1,81030,4,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,8,71540,14600,0,0,0,3,16,NA,NA,NA,NA,NA,1
"58845",0,0,1,17,1,12,1946,723,31,10950,1150,1,1,95265,6,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,16,13,153300,0,0,0,0,3,16,NA,NA,NA,NA,NA,1
"58872",1,0,1,17,3,11,1948,1912,29,98550,770,0,1,149686.5,8,0.300000011920929,0,0,0,0,0,0,0,0,12,16,112420,0,0,0,0,2,21,NA,32,0,1,1,0
"58882",0,1,0,12,7,9,1952,702,25,8541,1904,0,0,39157.19921875,14,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"58924",1,0,1,8,4,10,1939,2077,39,35040,5938,2,1,83106.8515625,19,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,44,0,1,1,0
"58956",0,NA,NA,12,NA,10,NA,NA,33,NA,5358,2,NA,32182.05078125,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,0
"58960",1,0,1,12,4,8,1951,1300,26,23725,1333,0,0,41245,7,0.300000011920929,0,10220,10220,0,0,0,0,0,7,NA,NA,0,0,NA,0,3,31,NA,51,0,1,1,0
"59014",0,0,1,16,1,13,1947,0,31,0,3573,2,1,103769.5,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,9,9,0,7592,0,0,0,2,21,NA,NA,NA,NA,NA,1
"59019",1,0,1,8,1,12,1924,2156,54,54885.05078125,5187,0,1,64495.5,35,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,61,0,1,1,0
"59020",0,0,1,12,3,9,1946,2520,30,10950,347,1,0,17593,4,0.5,0,0,0,0,0,0,6643,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,61,0,1,1,0
"59034",0,0,1,12,2,8,1940,2000,38,NA,4102,0,NA,175200,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,8,5,36496.3515625,0,0,0,0,3,3,NA,NA,NA,NA,NA,0
"59042",1,0,1,13,1,7,1948,2450,30,31846.25,4586,3,1,54753.6484375,10,0.800000011920929,0,0,0,0,0,0,0,0,9,NA,NA,14618.25,0,NA,0,4,36,NA,30,0,1,1,0
"59048",0,0,1,17,3,13,1927,1750,51,43800,3529,0,NA,136327.5,11,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"59056",1,0,1,12,4,12,1930,1310,47,57670,2000,0,1,94170,28,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,92,0,1,1,0
"59098",0,0,1,12,11,13,1951,1984,26,21900,1703,0,0,21900,6,0.200000002980232,0,0,0,0,0,0,0,0,12,12,41865.5,0,0,0,0,3,9,NA,92,0,1,1,0
"59176",0,0,1,12,2,11,1918,1480,60,67525,327,0,0,91615,39,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,0,0,1,0
"59186",0,0,1,12,4,9,1951,0,26,0,2095,1,1,87454,4,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"59198",1,0,1,12,6,10,1928,3390,50,93294,5934,0,1,139977.5,30,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,44,0,1,1,0
"59209",0,0,1,8,9,11,1919,0,58,0,1920,0,1,100385.953125,15,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,31,NA,NA,NA,NA,NA,1
"59224",1,0,1,17,9,10,1952,2695,25,58400,2427,3,1,58765,5,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,NA,55,0,1,1,0
"59225",0,NA,NA,12,9,6,1920,2352,57,23652,3601,0,NA,33985.1484375,24,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"59251",1,0,1,16,10,10,1952,NA,25,NA,5312,2,1,64970,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,12,12,31937.5,0,0,0,1,4,5,NA,NA,NA,NA,NA,0
"59258",1,0,1,12,7,12,1931,2625,46,46355,831,4,1,71718.8515625,27,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,87,0,1,1,0
"59289",0,0,1,12,7,12,1931,1960,46,32120,3446,3,1,122041.3984375,11,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"59305",0,0,1,17,4,11,1946,236,31,1825,1152,1,1,80665,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,1
"59342",0,1,0,9,8,7,1932,1560,45,14600,5053,3,0,20775.80078125,18,1,0,0,8234.400390625,0,6175.7998046875,564,0,0,NA,NA,NA,NA,NA,NA,0,3,10,NA,83,0,1,1,0
"59349",0,0,1,15,11,11,1948,2600,31,23725,5028,1,1,77234,11,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,51,NA,NA,NA,NA,NA,1
"59410",1,1,0,12,12,7,1946,2040,28,23725,5192,1,1,30295,8,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,NA,57,0,1,1,0
"59417",1,0,1,14,1,9,1947,2040,31,33945,4083,1,1,33945,11,0.600000023841858,0,0,0,0,0,0,0,0,12,10,40150,0,0,0,0,1,37,NA,61,0,1,1,0
"59427",0,0,1,10,NA,9,NA,1428,25,14600,3636,1,NA,84169,1,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"59445",1,1,0,12,12,8,1943,650,34,16060,1167,1,1,42668.5,8,0.5,0,15658.5,15943.2001953125,0,0,78,0,0,NA,NA,NA,NA,NA,NA,0,2,26,NA,NA,0,0,1,0
"59456",0,0,1,13,11,10,1944,1560,32,62050,695,3,NA,161198.59375,15,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"59463",0,0,1,12,7,11,1945,0,33,0,1855,2,1,85191,2,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"59468",1,0,1,13,4,9,1939,2061,39,89425,575,2,0,89425,19,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,61,0,1,1,0
"59529",1,0,1,8,1,11,1926,2150,52,73000,1028,1,1,73000,32,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,21,0,1,1,0
"59532",0,NA,NA,12,NA,12,NA,0,44,0,2991,2,NA,88939.546875,1,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"59541",0,0,1,16,4,9,1949,0,29,0,4418,1,NA,63875,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"59546",0,0,1,12,2,12,1953,0,25,0,5051,1,1,21900,3,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,16,74627.8984375,18250,0,0,0,4,43,NA,NA,NA,NA,NA,1
"59552",0,0,1,12,8,13,1949,0,28,0,3344,4,1,77197.5,5,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,NA,NA,NA,NA,NA,1
"59573",1,1,0,12,11,6,1951,1736,26,21900,4268,1,1,40150,6,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,92,0,1,1,0
"59590",0,0,1,8,9,10,1919,1897,58,20122.44921875,55,0,0,20122.44921875,12,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,86,0,1,1,0
"59601",0,NA,NA,12,NA,10,NA,1880,30,18250,5097,1,NA,76650,9,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"59602",0,NA,NA,12,NA,8,NA,0,35,0,549,0,NA,86870,12,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,NA,1
"59648",0,0,1,15,1,10,1951,2058,27,28835,2333,2,1,140525,1,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,16,12,28652.5,31499.5,0,0,0,3,45,NA,NA,NA,NA,NA,1
"59662",1,0,1,17,3,10,1949,600,28,17155,2122,0,1,67452,8,0.699999988079071,0,0,0,0,0,0,0,0,16,16,54750,73000,0,0,0,3,8,NA,NA,1,0,1,0
"59681",0,0,1,13,9,9,1942,2340,35,51100,2252,0,0,51100,15,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,83,0,1,1,0
"59695",0,0,1,16,5,11,1944,0,34,0,5597,3,1,88695,5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"59708",0,0,1,12,1,7,1934,48,42,2190,2113,2,1,119355,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"59717",0,0,1,12,8,10,1921,1280,56,16060,2017,0,0,17812,20,0.100000001490116,0,1752,1752,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,48,NA,86,0,1,1,0
"59723",0,0,1,12,12,13,1941,0,36,0,4405,3,1,85227.5,8,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"59741",0,0,1,17,4,10,1940,1760,38,58400,5297,0,0,58728.5,14,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,87,0,1,1,0
"59742",0,0,1,12,11,12,1949,0,28,0,4104,2,1,65700,2,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"59747",0,0,1,17,1,10,1935,468,43,7300,3913,6,1,123370,7,1.10000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"59750",0,0,1,17,7,11,1950,2940,27,32667.5,2353,0,0,32835.3984375,7,0.300000011920929,0,0,0,0,0,0,0,0,16,16,11106.9501953125,21900,0,0,0,3,3,NA,88,0,1,1,0
"59758",1,0,1,12,7,9,1947,1960,30,52925,5164,3,1,66481.1015625,11,1,10818.599609375,0,10818.599609375,0,0,0,0,0,11,NA,NA,16060,0,NA,0,2,48,NA,30,0,1,1,0
"59806",0,0,1,12,6,12,1922,0,55,0,798,0,1,68985,23,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"59809",1,0,1,11,6,8,1928,1960,49,41975,5267,1,1,55188,30,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,32,0,1,1,0
"59811",1,0,1,17,6,13,1942,2275,35,96725,4054,1,1,96907.5,16,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,NA,31,0,1,1,0
"59819",0,0,1,12,9,11,1929,2054,48,27375,818,0,NA,83950,14,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"59825",0,0,1,12,9,9,1934,1875,44,22582.55078125,5867,1,1,160600,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,NA,NA,1
"59896",1,0,1,12,12,10,1921,2350,56,59860,2768,0,1,86067,36,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,62,0,1,1,0
"59907",1,0,1,9,3,11,1942,1764,35,43800,4281,3,1,85837.046875,15,0.800000011920929,0,2982.05004882812,2982.05004882812,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,51,0,1,1,0
"59916",1,0,1,16,3,11,1953,2856,25,73000,5516,0,1,85957.5,5,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,71,0,1,1,0
"59937",1,0,1,9,NA,5,NA,1728,26,23725,6045,1,1,26280,8,0.600000023841858,0,0,335.799987792969,0,0,92,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,32,0,1,1,0
"59970",1,0,1,11,9,10,1937,3955,40,82125,3520,4,1,96360,20,1.20000004768372,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,85,0,1,1,0
"59991",0,1,0,9,12,5,1916,0,58,0,2926,0,NA,46720,15,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"60024",1,0,1,16,NA,12,NA,2080,36,25550,165,1,1,66430,18,0.5,0,0,0,0,0,0,4380,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,82,0,1,1,0
"60031",1,0,1,9,9,12,1941,2080,36,21900,320,3,1,21900,16,0.800000011920929,0,0,919.799987792969,0,0,252,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,51,0,1,1,0
"60032",0,0,1,14,11,13,1930,1480,47,34675,3760,0,1,98550,9,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"60033",1,0,1,12,12,7,1949,2575,28,86910.1484375,4231,3,1,89848.3984375,8,1.29999995231628,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,30,0,1,1,0
"60040",0,0,1,12,3,13,1949,0,29,0,3560,2,1,86140,3,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,NA,NA,NA,1
"60055",1,0,1,12,3,12,1953,2200,25,NA,3037,0,NA,207133.84375,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,12,10,24392.94921875,14391.9501953125,0,0,0,1,29,NA,NA,NA,NA,NA,0
"60071",0,0,1,16,12,10,1937,0,40,0,3898,3,1,115121,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,NA,NA,NA,1
"60072",0,0,1,8,4,8,1922,0,56,0,2156,1,0,61163.05078125,4,1.20000004768372,0,0,3901.85009765625,3901.85009765625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,4,NA,0,0,1,0
"60080",1,0,1,12,1,8,1941,1850,37,62050,5646,3,1,81139.5,17,NA,0,7774.5,9964.5,0,0,600,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,55,0,1,1,0
"60091",1,0,1,16,NA,11,NA,3710,34,51100,232,0,0,51100,15,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,87,0,1,1,0
"60094",0,1,0,12,7,9,1941,1980,36,24382,2725,0,0,32134.599609375,16,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,3,16,NA,86,0,1,1,0
"60102",1,0,1,12,11,9,1947,2400,30,50297,4096,2,1,59422,6,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,NA,32,0,1,1,0
"60103",0,0,1,13,1,9,1938,2080,40,14600,814,3,1,69350,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"60130",0,0,1,12,8,7,1952,506,25,26280,5373,0,1,58582.5,6,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,12,10,47085,18943.5,0,0,0,4,4,NA,NA,NA,NA,NA,1
"60170",0,NA,NA,12,7,10,1916,800,60,7665,908,0,NA,60849.1484375,32,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"60196",1,0,1,17,1,11,1952,2200,26,45906.05078125,4138,1,1,71127.546875,4,0.400000005960464,0,0,0,0,0,0,0,0,12,12,73000,18250,0,0,0,4,5,NA,44,0,1,1,0
"60221",0,0,1,12,1,10,1924,700,53,5475,182,0,NA,29200,33,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"60224",0,0,1,15,12,11,1946,2020,30,20294,3137,0,0,21316,11,0.300000011920929,0,292,292,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,86,0,1,1,0
"60225",0,0,1,17,8,10,1949,720,28,18250,47,0,1,63145,5,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,12,12,16425,5475,0,0,0,3,42,NA,NA,NA,NA,NA,1
"60265",0,0,1,14,4,10,1930,0,48,0,2177,1,1,114975,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"60288",0,0,1,14,10,11,1929,1155,48,16249.7998046875,829,0,NA,181594.796875,20,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"60302",1,1,0,9,2,4,1948,2400,30,18980,6011,0,0,18980,10,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,17,NA,11,0,1,1,0
"60325",1,0,1,13,3,9,1947,2510,30,60225,1008,3,1,75730.203125,11,1,0,317.549987792969,317.549987792969,0,0,0,3285,0,12,8,81395,14965,0,0,0,4,4,NA,51,0,1,1,0
"60341",1,0,1,12,3,10,1943,1964,35,60882,331,3,1,62123,15,1,620.5,0,620.5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,32,0,1,1,0
"60350",0,NA,NA,13,3,11,1951,1960,27,34310,4461,0,NA,98951.5,7,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"60353",1,0,1,9,1,9,1923,1824,55,54750,814,3,1,69350,28,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,91,0,1,1,0
"60370",0,0,1,12,11,10,1945,350,31,16060,338,3,1,116435,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"60380",0,0,1,12,11,8,1946,680,31,11315,5646,3,1,81139.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"60406",0,0,1,10,12,13,1938,72,39,876,287,2,NA,62926,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"60413",0,0,1,12,12,12,1950,0,27,0,1984,2,1,79051.703125,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"60455",0,0,1,12,9,9,1945,0,32,0,702,1,NA,121180,9,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,NA,NA,NA,1
"60466",1,0,1,12,11,12,1950,2743,27,64422.5,700,0,1,80117.5,9,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,61,0,1,1,0
"60467",0,0,1,12,6,10,1927,1960,50,16527.19921875,5316,0,1,43500.69921875,18,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"60490",1,0,1,15,7,9,1947,2056,30,29200,1467,0,1,35405,6,0.400000005960464,0,0,0,0,0,0,0,0,6,8,47450,27984.55078125,0,0,0,2,34,NA,85,0,1,1,0
"60494",1,0,1,16,6,13,1940,1980,37,127750,4806,0,0,163651.40625,13,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,33,0,1,1,0
"60497",1,0,1,12,2,11,1919,2350,59,127750,24,0,1,189800,39,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,30,0,1,1,0
"60498",1,0,0,11,7,12,1938,NA,39,NA,687,0,0,80982.546875,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,3,17,NA,NA,NA,NA,NA,0
"60529",0,0,1,16,11,13,1941,120,36,1460,3540,2,0,41610,8,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,0,0,1,0
"60530",1,0,1,16,5,12,1938,2016,39,109500,4731,2,1,109562.046875,19,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,17,NA,91,0,1,1,0
"60542",0,0,1,12,2,10,1939,910,39,9490,2012,4,1,100740,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"60569",0,0,1,16,1,NA,1947,792,32,14851.849609375,1915,0,NA,95202.953125,7,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"60578",0,0,1,13,6,11,1937,1967,40,12045,3888,3,0,41099,3,0.699999988079071,0,0,0,0,0,0,16352,0,NA,NA,NA,NA,NA,NA,0,1,6,NA,61,0,1,1,0
"60579",0,1,0,12,6,8,1951,620,26,4745,653,1,1,41318,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,8,11,25550,15768,0,0,0,3,32,NA,NA,NA,NA,NA,1
"60599",0,0,1,12,1,11,1947,0,31,0,626,2,1,48581.5,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"60601",1,0,1,12,3,9,1933,2024,45,63145,777,2,1,63480.80078125,16,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,30,0,1,1,0
