"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"637",1,0,1,17,12,12,1943,NA,1944,38,99726.25,4510,1,1,122430.4921875,14,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"652",0,0,0,12,10,2,1941,NA,3325,40,34086,2119,2,NA,80354.0390625,21,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"674",0,0,1,17,8,10,1951,40,573,30,19760,1497,1,1,72618,2,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"677",0,0,1,8,2,11,1934,NA,0,48,0,3372,0,NA,69703.3984375,18,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"701",1,0,1,17,9,9,1955,21,1960,26,56810,5934,2,1,56810,2,1,0,0,0,0,0,0,0,0,12,NA,NA,3660.5400390625,0,NA,0,4,4,0,1,1,0
"762",1,0,1,10,1,9,1951,31,1812,31,61750,5571,2,1,67591.546875,7,0.800000011920929,5841.5498046875,0,5841.5498046875,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"790",1,0,1,12,2,11,1952,12,2112,30,37050,5175,0,1,101467.6015625,6,0.300000011920929,0,2865.19995117188,2865.19995117188,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,0,1,0
"796",1,0,1,12,5,12,1952,48,1949,29,36197.8515625,342,0,0,40569.75,6,0.300000011920929,0,0,0,0,0,0,0,0,12,12,26330.19921875,0,0,0,0,2,48,0,1,1,0
"805",1,1,0,12,12,8,1949,NA,3288,32,81510,3864,2,1,85215,8,0.5,0,0,0,0,0,0,0,0,12,6,86450,0,0,0,0,2,34,0,1,1,0
"817",1,0,1,12,1,10,1943,NA,2697,40,44460,4905,0,0,45596.19921875,12,0.5,0,1136.19995117188,1136.19995117188,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"839",1,0,1,12,3,10,1945,NA,900,37,9786.1396484375,553,1,1,18413.849609375,12,0.600000023841858,0,0,963.299987792969,0,0,390,0,0,8,8,25935,8605.48046875,0,0,0,3,41,0,1,1,0
"841",0,0,1,12,12,10,1941,NA,100,40,988,4307,3,1,89167,4,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"842",0,0,1,16,2,11,1944,NA,0,38,0,5095,3,1,338884,5,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,NA,1
"865",1,0,1,10,9,9,1956,48,1952,25,44213,80,2,1,48572.55078125,2,0.5,0,1296.75,1296.75,0,0,0,0,0,6,NA,NA,6261.4501953125,0,NA,0,2,48,0,1,1,0
"892",1,0,1,12,7,9,1932,NA,1968,49,59280,5817,0,1,85462,25,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"893",0,0,1,16,2,10,1957,32,2040,25,20550.400390625,4462,0,1,68715.3984375,2,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,14,16,15506.66015625,37050,0,0,0,3,32,0,1,NA,1
"894",0,0,1,17,4,9,1943,NA,65,38,3922.36010742188,462,2,1,79010.359375,15,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,0,1,NA,1
"970",0,0,1,12,10,11,1948,NA,2024,33,23588.5,6094,1,1,71012.5,8,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"975",1,0,0,12,12,9,1938,NA,2527,42,80275,1034,1,1,123006,19,0.899999976158142,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,4,4,0,1,1,0
