"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"4283",1,0,1,17,3,11,1942,2100,30,66573,3296,0,1,129732,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,87,0,1,1,0
"4397",1,0,1,11,7,8,1940,1248,32,28450,220,2,1,31920.900390625,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,61,0,1,1,0
"4437",1,0,1,14,4,9,1920,2400,52,68280,4135,1,1,138836,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,31,0,1,1,0
"4442",0,0,1,12,4,11,1922,1248,49,13428.400390625,2584,0,1,31067.400390625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"4453",0,0,1,7,6,8,1917,1750,54,39830,1839,0,0,46658,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,61,0,1,1,0
"4490",0,1,0,8,5,7,1924,429,46,4779.60009765625,1587,7,0,21166.80078125,2.20000004768372,0,16387.19921875,0,0,0,0,2880,NA,NA,NA,NA,NA,NA,0,3,9,NA,83,0,1,1,0
"4496",1,1,0,16,NA,8,NA,2600,60,NA,1940,0,NA,75961.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,0,0
"4529",0,0,1,14,12,12,1941,1500,30,28450,1370,1,1,82505,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,NA,NA,NA,NA,1
"4551",0,0,1,12,5,12,1927,2040,42,42675,2451,1,0,42675,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,92,0,1,1,0
"4595",1,0,1,8,NA,10,NA,2496,43,39830,448,1,0,49332.30078125,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,11,0,1,1,0
"4597",1,0,1,13,12,13,1926,2064,45,61531.66015625,3695,2,1,139649.671875,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,NA,71,0,1,1,0
"4611",0,0,1,12,NA,9,NA,1880,28,21109.900390625,2032,2,0,47852.8984375,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,88,0,1,1,0
"4632",1,1,0,17,10,13,1926,3612,45,142250,4328,2,1,153630,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,31,0,1,1,0
"4658",0,0,1,15,9,10,1940,0,31,0,4408,2,1,80854.8984375,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"4693",1,0,1,11,6,11,1928,2352,43,71125,1467,1,1,71824.8671875,0.600000023841858,699.869995117188,699.869995117188,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,32,0,1,1,0
"4696",1,0,1,8,12,10,1917,2080,54,41878.3984375,1713,0,1,86499.3828125,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,11,0,1,1,0
"4743",1,0,1,NA,NA,10,NA,NA,25,NA,483,1,NA,60126.23046875,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,0
"4768",1,1,0,11,11,7,1936,3723,34,29588,1984,3,1,45133.078125,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,61,0,1,1,0
"4801",0,0,1,13,6,7,1940,0,30,0,540,6,NA,5.69000005722046,1.10000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,NA,NA,NA,1
