"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"9217",0,0,0,12,NA,10,NA,1167,33,NA,6273,0,NA,24599.1796875,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,0,NA,0,3,9,0,1,0,0
"9218",0,0,1,12,8,12,1935,1750,46,20960,3085,0,0,42706,13,0.100000001490116,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,0,1,1,0
"9251",0,0,1,12,4,8,1948,5011,32,52400,769,0,1,110040,13,2,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,0,0,NA,0,2,48,0,1,NA,1
"9271",0,0,1,12,10,8,1952,0,28,0,5627,2,1,37565.55859375,3,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0,0,NA,0,2,14,0,0,NA,1
"9291",0,0,1,16,4,11,1955,1280,25,32750,4508,1,1,51352,4,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,0,0,NA,1
"9296",1,0,1,12,2,9,1948,840,33,17554,5555,2,1,59788.3984375,10,0.800000011920929,0,15720,15720,0,0,0,0,0,12,12,0,4454,0,0,0,2,21,0,0,1,0
"9324",0,0,1,12,11,12,1941,1600,39,47160,3943,1,NA,157823.5625,20,0.5,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0,0,NA,0,3,10,0,1,NA,1
"9344",1,0,1,14,9,10,1952,3185,28,89080,2213,1,1,90468.6015625,4,0.5,0,0,0,0,0,0,0,0,12,12,78600,0,0,0,0,3,16,0,1,1,0
"9371",0,0,1,17,6,11,1943,1960,37,41920,456,3,1,160344,7,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"9399",1,0,1,16,NA,10,NA,1788,29,68120,4055,0,1,156414,7,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,1,1,0
"9426",0,0,1,14,11,8,1950,480,28,20960,295,0,1,126022,7,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,12,102180,0,0,0,0,2,21,0,0,NA,1
"9435",0,0,1,12,9,10,1934,1771,45,14672,4757,1,0,30863.599609375,16,0.5,0,0,0,0,0,0,3982.39990234375,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"9439",0,1,0,8,4,5,1944,704,37,0,1726,2,NA,47356.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28820,NA,NA,0,0,3,32,0,0,NA,0
"9448",0,NA,NA,12,NA,11,NA,1880,30,34060,6278,2,NA,83659.21875,10,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,35,0,1,NA,1
"9455",0,1,0,12,5,9,1952,1828,28,25676,2151,3,1,46636,3,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,10149.8798828125,0,NA,0,3,39,0,1,NA,1
"9485",0,1,0,10,6,8,1955,263,25,2358,4609,2,0,10228.48046875,3,4,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,2358,0,NA,0,3,32,0,0,NA,1
"9499",0,0,1,12,7,10,1950,540,30,4454,653,2,1,50094.3984375,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,1,NA,1
"9506",1,0,1,12,5,8,1920,0,60,0,4197,0,1,28149.279296875,37,0.300000011920929,0,0,11947.2001953125,11947.2001953125,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,0,1,0
"9509",1,1,0,8,NA,3,NA,933,60,NA,3194,1,NA,39355.01953125,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,0,1,NA,0
"9519",0,NA,NA,12,4,9,1931,0,50,0,5654,0,NA,72909.359375,29,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,0,NA,1
"9531",1,1,0,11,9,5,1950,2000,30,39300,2359,4,1,52924,8,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"9543",0,0,1,11,1,11,1927,1750,54,16479.80078125,815,0,0,16479.80078125,31,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"9548",0,0,1,6,5,4,1921,0,59,0,4875,0,0,17365.359375,1,0.600000023841858,0,0,4150.080078125,0,2169.36010742188,756,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,0,1,0
"9550",1,0,1,12,8,10,1952,2123,28,62880,3060,2,1,62880,5,0.600000023841858,0,0,0,0,0,0,0,0,11,11,79414.8203125,34033.80078125,0,0,0,3,10,0,1,1,0
"9553",1,0,1,12,5,10,1927,2450,53,25479.5,4419,1,1,56521.26171875,31,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,0,1,1,0
"9567",1,0,1,12,6,13,1920,1920,60,47160,2570,0,1,62188.3203125,38,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"9607",1,0,1,17,10,13,1946,2435,34,23003.599609375,1950,3,1,69430,12,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"9628",1,0,1,10,4,11,1931,1980,50,43596.80078125,6001,0,1,70058.796875,25,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"9631",0,0,1,12,8,10,1924,1020,56,9704.48046875,5580,1,1,6240.83984375,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"9633",1,0,1,15,6,10,1947,2450,32,23449,2624,2,1,40858.8984375,11,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"9648",0,1,0,10,5,6,1952,1764,28,23580,2896,3,0,28610.400390625,5,1.29999995231628,0,0,275.100006103516,0,0,105,0,0,NA,NA,NA,NA,NA,NA,0,4,27,0,1,1,0
"9671",1,0,1,12,1,10,1956,4399,25,31440,411,2,1,35946.3984375,2,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"9679",0,0,1,12,3,12,1928,0,53,0,1734,0,1,73360,10,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,0,NA,1
"9680",0,0,1,12,12,8,1934,400,47,1572,3686,2,1,135192,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,1,NA,1
"9708",1,0,1,13,1,12,1950,2176,31,50877.78125,3614,2,1,70839.5625,8,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,0,1,1,0
