"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"57152",0,0,1,15,7,11,1940,260,35,7315,1896,2,1,100947,17,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,NA,1
"57185",0,0,1,14,1,8,1943,3744,33,8360,5512,0,1,54340,12,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,NA,1
"57205",0,0,1,16,12,12,1944,0,31,0,799,2,1,67089,10,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,0,0,NA,1
"57208",1,0,1,12,1,9,1929,2032,47,29456.4609375,4964,1,1,72322.359375,36,3,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,11,0,1,1,0
"57209",0,0,1,6,8,11,1940,0,36,0,3709,1,1,20084.900390625,15,4,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,0,0,1,0
"57211",1,0,1,14,1,10,1944,2268,32,60192,3204,2,1,86049.4765625,14,1,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,33,0,1,1,0
"57251",0,0,1,16,5,9,1948,1573,28,50160,5261,0,1,111606,7,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,12,12,47815.01953125,8360,0,0,0,2,26,NA,0,1,NA,1
"57255",1,0,1,12,NA,9,NA,1940,27,50160,3153,1,1,61007.1015625,7,NA,0.600000023841858,397.100006103516,681.340026855469,0,0,68,0,0,NA,NA,NA,NA,NA,NA,0,4,36,30,0,1,1,0
"57263",1,0,1,17,4,11,1936,2739,40,112860,1074,2,1,135014,15,1,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,31,0,1,1,0
"57295",1,0,1,12,9,11,1949,3750,27,21318,3717,2,1,23408,8,3,1,1672,1672,0,0,0,0,0,10,11,36784,3344,0,0,0,2,13,11,0,1,1,0
"57306",1,0,0,10,NA,8,NA,1980,38,56430,3263,0,1,56430,16,NA,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,30,0,1,1,0
"57311",1,0,1,16,NA,9,NA,872,29,19750.5,5589,0,1,78270.5,11,NA,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,87,0,1,1,0
"57322",0,0,1,NA,NA,12,NA,NA,28,NA,2393,0,NA,25882.560546875,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,8,11,0,0,0,0,1,2,21,NA,NA,NA,NA,0
"57350",0,0,1,17,3,12,1928,2380,48,102410,3318,0,0,113905,27,3,0.300000011920929,0,0,0,0,0,0,0,12,NA,NA,NA,0,NA,0,2,22,87,0,1,1,0
"57364",1,0,1,16,5,12,1941,1924,34,45144,2647,0,0,45144,16,1,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,61,0,1,1,0
"57366",1,0,1,16,10,12,1947,2160,28,71896,682,1,1,73568,10,2,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,51,0,1,1,0
"57380",0,0,1,17,3,11,1951,1440,25,13376,4362,0,1,59878.5,6,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,12,16,75240,0,0,0,0,2,34,NA,0,1,NA,1
"57383",1,0,1,12,10,10,1949,2250,27,72523,2505,0,1,110143,9,NA,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,55,0,1,1,0
"57435",0,0,1,17,1,12,1916,1440,60,64643.69921875,3089,0,0,114176.703125,28,2,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,86,0,1,1,0
"57475",0,0,1,14,2,12,1947,1820,29,2508,2181,3,1,50160,3,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,0,1,NA,1
"57499",0,0,1,12,6,9,1915,0,60,0,875,0,NA,68869.6796875,7,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,0,0,NA,1
"57522",1,0,1,12,5,11,1916,0,59,0,1653,0,1,83182,37,4,0.300000011920929,0,15048,15048,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,0,0,1,0
"57592",1,0,1,12,9,11,1935,2280,40,68890.578125,1702,2,1,77748,22,2,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,81,0,1,1,0
"57606",1,0,1,4,6,10,1937,3315,39,42636,4628,3,1,42636,21,NA,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,71,0,1,1,0
"57611",1,0,1,12,11,11,1950,2510,25,45980,4181,1,1,92796,7,2,0.5,0,0,0,0,0,0,0,NA,12,62700,NA,NA,0,0,2,22,51,0,1,1,0
"57639",1,0,1,12,9,10,1943,2060,32,66880,5496,1,1,117416.203125,14,2,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,56,0,1,1,0
"57692",1,0,1,8,5,11,1929,520,47,NA,3805,1,1,99484,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,0,NA
"57696",1,0,1,16,8,11,1931,2103,44,104500,346,2,1,126236,26,3,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,31,0,1,1,0
"57702",0,0,1,12,5,9,1923,0,52,0,927,0,1,140744.78125,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,0,NA,1
"57753",0,NA,NA,5,NA,2,NA,0,50,0,660,0,NA,7185.419921875,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,0,0,NA,1
"57787",0,0,1,12,5,9,1928,0,48,0,2180,4,1,23199,12,NA,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,0,0,NA,1
"57791",1,0,1,12,9,12,1922,0,53,0,2005,0,1,91479.296875,29,3,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,0,1,0
"57797",1,0,1,8,7,9,1930,1896,45,43890,375,1,1,66449.4609375,27,3,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,32,0,1,1,0
"57822",1,0,1,12,10,8,1937,2840,39,32537.119140625,4208,3,1,33477.62109375,21,NA,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,33,0,1,1,0
"57828",0,0,1,13,11,10,1929,800,46,10032,2610,1,NA,75658,4,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,0,1,NA,1
"57859",1,0,1,16,9,10,1942,1993,33,68970,3833,2,1,89953.6015625,15,2,0.699999988079071,1421.19995117188,1421.19995117188,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,32,0,1,1,0
"57882",1,1,0,11,6,11,1928,3093,47,37620,3221,1,1,60610,29,3,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,88,0,1,1,0
"57893",0,0,1,14,10,13,1933,1347,43,20900,4911,2,1,108680,6,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,NA,1
"57904",1,0,1,17,5,10,1938,1976,38,54340,4954,2,1,100320,20,3,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,31,0,1,1,0
"57961",1,0,1,9,6,4,1950,NA,25,NA,214,0,0,10558.6796875,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,3385.80004882812,0,NA,0,1,29,NA,NA,NA,NA,0
"57970",1,0,0,11,12,8,1944,2800,31,62700,4060,2,1,96407.5234375,11,2,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,83,0,1,1,0
"57973",0,0,1,10,9,8,1917,0,57,0,2924,0,1,34694,20,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,0,0,NA,1
"57984",0,0,1,10,12,9,1931,640,44,1254,2224,2,0,52534.23828125,20,4,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,0,1,0
"57988",1,NA,NA,NA,NA,10,NA,780,36,NA,451,1,NA,28591.19921875,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,0
"57989",0,0,1,8,11,8,1922,0,53,0,2234,1,1,284386.3125,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,0,0,NA,1
"58040",1,0,1,13,5,10,1926,2060,50,66880,287,1,1,113244.5625,31,2,0.5,0,21368.16015625,21368.16015625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,51,0,1,1,0
"58093",0,1,0,NA,NA,4,NA,2000,29,NA,4237,2,NA,26459.400390625,NA,NA,1.39999997615814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,NA,0
"58103",1,0,1,17,2,11,1951,1292,25,18392,1906,0,0,18392,5,2,0.5,0,0,0,0,0,0,0,12,14,81092,37620,0,0,0,4,46,87,0,1,1,0
"58133",1,1,0,12,NA,8,NA,2114,29,45980,4869,1,1,71060,11,NA,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,55,0,1,1,0
"58162",1,0,1,16,NA,12,NA,2520,36,32436.80078125,3858,0,1,98648,18,NA,0.600000023841858,0,14379.2001953125,14379.2001953125,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,61,0,1,1,0
"58192",1,0,1,12,6,8,1951,2590,25,60610,3018,1,1,71352.6015625,7,1,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,48,30,0,1,1,0
"58198",0,0,1,12,9,12,1931,1080,44,27098.939453125,2810,3,1,148808,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,0,1,NA,1
"58222",1,0,1,13,11,10,1949,1800,26,NA,1527,0,1,62499.359375,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,2,21,NA,NA,NA,NA,0
"58300",1,0,1,16,NA,0,NA,1040,25,NA,5858,0,NA,76970.5234375,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,0
"58303",1,1,0,13,1,10,1947,1920,29,40964,1981,1,1,74822,11,2,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,71,0,1,1,0
"58328",0,0,1,8,9,9,1927,640,49,20900,2578,0,1,64790,12,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,NA,1
"58341",1,0,1,NA,NA,6,NA,1733,34,NA,2671,0,NA,77463.7578125,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,0
"58354",1,0,1,16,7,12,1941,2520,34,110352,3039,3,1,121700.703125,12,2,0.600000023841858,0,0,0,0,0,0,0,12,12,82764,0,0,0,0,1,20,56,0,1,1,0
"58373",0,0,1,12,3,9,1943,245,33,22572,19,1,1,68175.796875,15,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,NA,1
"58403",0,NA,NA,13,NA,12,NA,1840,56,0,545,0,NA,18249.880859375,20,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,1,NA,1
"58415",0,0,1,12,1,6,1949,0,27,0,392,3,NA,45562,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,0,NA,1
"58428",0,0,1,12,2,11,1946,800,30,12540,2856,2,NA,104500,12,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,0,1,NA,1
"58454",0,0,1,12,12,11,1937,0,38,0,1196,2,1,157168,10,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,0,0,NA,1
"58458",0,0,1,11,4,8,1926,0,51,0,2787,1,NA,35112,10,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,26,NA,0,0,NA,1
"58463",1,0,1,17,4,11,1946,1710,30,79420,4715,1,1,79420,11,1,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,91,0,1,1,0
"58474",1,0,1,12,8,10,1936,2200,39,50160,1394,3,1,71896,21,4,0.800000011920929,3344,3344,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,32,0,1,1,0
"58482",0,0,1,14,8,12,1941,195,34,2090,2824,4,1,181830,5,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,0,1,NA,1
"58493",0,0,1,12,2,12,1935,2000,41,37202,3590,1,1,174724,10,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,0,1,NA,1
"58542",0,0,1,6,11,6,1924,2100,54,30514,881,0,0,30514,20,4,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,42,0,1,1,0
"58574",1,0,1,12,3,9,1950,2265,26,33440,3599,0,1,58520,5,NA,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,32,0,1,1,0
"58579",1,0,1,16,7,13,1917,2025,58,79420,5475,0,1,92796,37,3,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,44,0,1,1,0
"58598",1,1,0,15,3,9,1949,2370,27,45562,3470,0,0,58520,9,3,0.200000002980232,0,0,0,0,0,0,0,NA,12,100320,NA,0,0,0,3,19,62,0,1,1,0
"58606",1,0,1,9,8,8,1924,2496,52,57466.640625,371,2,1,104918,34,1,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,11,0,1,1,0
"58612",1,0,1,12,12,11,1947,1400,28,33440,784,1,1,46565.19921875,10,1,1,4765.2001953125,4765.2001953125,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,0,1,0
"58615",0,0,1,13,1,11,1942,0,34,0,1912,3,1,168245,4,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,NA,0,0,NA,1
"58625",0,0,1,12,11,7,1948,1300,27,15048,1700,2,1,53922,6,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,1,NA,1
"58647",0,0,1,12,4,12,1932,0,44,0,4106,4,1,91220.140625,4,NA,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,0,0,NA,1
"58664",0,0,1,12,11,11,1936,1300,39,7106,5012,5,NA,103496.796875,11,NA,1.10000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,NA,1
"58710",1,1,0,15,4,8,1947,1891,28,39776.87890625,3275,0,0,39776.87890625,11,1,0.300000011920929,0,0,0,0,0,0,0,12,NA,NA,27884.779296875,0,NA,0,3,19,56,0,1,1,0
"58721",1,0,1,17,1,7,1950,1670,26,24662,3986,0,1,49846.5,3,1,0.5,0,0,0,0,0,0,0,12,8,83574.921875,9104.0400390625,0,0,0,3,41,92,0,1,1,0
"58759",0,NA,NA,9,NA,9,NA,0,40,0,3835,1,NA,118557.34375,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,0,NA,1
"58804",1,0,1,17,11,11,1947,1493,29,31350,2885,2,1,41382,11,1,0.5,0,0,0,0,0,0,0,12,NA,NA,3164.26000976562,0,NA,0,1,28,87,0,1,1,0
"58819",0,1,0,10,8,0,1932,1328,44,20268.8203125,186,1,NA,83370.1015625,25,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3,9,NA,0,1,NA,1
"58845",0,0,1,17,1,12,1946,340,30,7841.68017578125,2036,0,1,79169.203125,6,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,16,13,158840,0,0,0,0,3,16,NA,0,1,NA,1
"58872",1,0,1,17,3,11,1948,1912,28,96140,4095,0,1,142203.59375,8,1,0.400000005960464,0,0,0,0,0,0,0,12,16,79420,0,0,0,0,2,21,32,0,1,1,0
"58924",1,0,1,8,4,10,1939,2070,37,40546,1186,4,1,83182,19,3,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,44,0,1,1,0
"58929",0,0,1,8,12,8,1916,325,59,1358.5,3844,0,0,1358.5,20,3,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,83,0,1,1,0
"58960",1,0,1,12,4,8,1951,2072,25,20900,5271,0,1,41800,7,2,0.699999988079071,0,0,0,0,0,0,0,7,NA,NA,60192,0,NA,0,3,45,91,0,1,1,0
"59014",0,0,1,16,1,13,1947,0,30,0,2833,2,1,93715.6015625,6,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,9,9,8360,6086.080078125,0,0,0,2,21,NA,0,0,NA,1
"59019",1,0,1,8,1,12,1924,2058,52,63745,5498,0,1,132965.796875,35,3,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,61,0,1,1,0
"59020",0,0,1,12,3,9,1946,0,28,0,298,1,1,75302.703125,7,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,0,NA,1
"59034",0,0,1,12,2,8,1940,2030,36,NA,174,0,NA,157586,NA,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,8,5,66963.6015625,0,0,0,0,3,3,NA,NA,NA,NA,0
"59042",1,0,1,13,1,7,1948,2441,28,17430.599609375,856,2,1,29678,10,2,0.699999988079071,0,0,0,0,0,6270,0,9,NA,NA,0,0,NA,0,4,36,61,0,1,1,0
"59048",0,0,1,17,3,13,1927,1248,48,30096,671,0,NA,149234.359375,11,NA,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,NA,1
"59056",1,0,1,12,4,12,1930,1430,45,60610,448,1,1,112308.2421875,28,3,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,92,0,1,1,0
"59098",0,0,1,12,11,13,1951,896,25,12540,2040,0,0,15048,6,3,0.5,0,0,0,0,0,0,0,12,12,50160,0,0,0,0,3,9,92,0,1,1,0
"59176",0,0,1,12,2,11,1918,1904,58,80256,2337,0,0,85272,39,3,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,56,0,1,1,0
"59186",0,0,1,12,4,9,1951,320,25,836,304,1,1,30096,4,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,0,NA,1
"59198",1,0,1,12,6,10,1928,3390,48,76326.796875,5074,0,1,108930.796875,30,2,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,44,0,1,1,0
"59209",0,0,1,8,9,11,1919,0,56,0,2878,0,1,55761.19921875,15,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,31,NA,0,0,NA,1
"59225",0,NA,NA,12,9,6,1920,2100,56,33440,419,0,NA,89084.15625,24,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,0,1,NA,1
"59258",1,0,1,12,7,12,1931,2125,45,28424,2413,4,1,49951,27,3,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,87,0,1,1,0
"59289",0,0,1,12,7,12,1931,2000,44,29260,786,4,1,92169,11,NA,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,NA,1
"59291",1,0,1,9,NA,6,NA,1040,32,NA,2712,1,NA,53980.51953125,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,0,0
"59305",0,0,1,17,4,11,1946,0,30,0,4715,1,1,79420,3,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,0,0,NA,1
"59342",0,1,0,9,8,7,1932,0,42,0,3520,4,0,15833.83984375,18,NA,1.20000004768372,0,13944.48046875,0,0,1308,0,2028,NA,NA,NA,NA,NA,NA,0,3,10,NA,0,0,1,0
"59349",0,0,1,15,11,11,1948,2080,29,32604,5358,1,1,70224,11,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,NA,0,1,NA,1
"59410",1,1,0,12,12,7,1946,1400,26,18810,2806,0,1,32604,8,4,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,57,0,1,1,0
"59417",1,0,1,14,1,9,1947,675,29,10450,4114,0,1,57934.80078125,11,3,0.400000005960464,1504.80004882812,1504.80004882812,0,0,0,0,0,12,10,50160,0,0,0,0,1,37,NA,0,0,1,0
"59445",1,1,0,12,12,8,1943,2000,31,41800,3271,1,1,42259.80078125,8,NA,0.5,459.799987792969,1316.69995117188,0,0,205,0,0,NA,NA,NA,NA,NA,NA,0,2,26,33,0,1,1,0
"59463",0,0,1,12,7,11,1945,0,30,0,3475,2,1,65124.3984375,2,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,0,NA,1
"59468",1,0,1,13,4,9,1939,2254,37,84402.5625,1138,0,0,84452.71875,19,2,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,61,0,1,1,0
"59529",1,0,1,8,1,11,1926,2400,50,71060,3000,1,1,76912,32,1,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,21,0,1,1,0
"59532",0,NA,NA,12,NA,12,NA,0,42,0,216,3,NA,180576,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,0,0,NA,1
"59541",0,0,1,16,4,9,1949,800,27,13376,4217,1,NA,66462,6,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,1,0,NA,1
"59552",0,0,1,12,8,13,1949,50,26,209,5362,3,1,76285,5,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,NA,0,0,NA,1
"59590",0,0,1,8,9,10,1919,1875,56,18630.259765625,3824,0,0,18960.48046875,12,4,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,86,0,1,1,0
"59601",0,NA,NA,12,NA,10,NA,680,27,12540,1986,1,NA,83600,9,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,NA,1
"59633",1,0,1,15,NA,11,NA,720,27,15048,1808,0,1,23826,9,NA,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,88,0,1,1,0
"59662",1,0,1,17,3,10,1949,1320,25,21736,4958,0,1,58603.6015625,8,1,0.699999988079071,0,0,0,0,0,0,0,16,16,58520,75240,0,0,0,3,8,NA,1,0,1,0
"59681",0,0,1,13,9,9,1942,1620,33,31350,406,0,0,31350,15,3,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,82,0,1,1,0
"59695",0,0,1,16,5,11,1944,0,31,0,4826,2,1,98648,5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,0,NA,1
"59708",0,0,1,12,1,7,1934,0,44,0,2762,2,1,124564,10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,0,NA,1
"59717",0,0,1,12,8,10,1921,960,54,9196,3046,0,0,9739.400390625,20,1,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,0,0,1,0
"59723",0,0,1,12,12,13,1941,900,34,3762,3558,3,1,75240,8,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,NA,1
"59741",0,0,1,17,4,10,1940,1760,36,64790,1131,0,0,64790,14,1,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,87,0,1,1,0
"59742",0,0,1,12,11,12,1949,0,26,0,2999,2,1,68970,2,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,0,0,NA,1
"59747",0,0,1,17,1,10,1935,390,41,2508,5133,7,1,102410,7,NA,1.10000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,NA,1
"59750",0,0,1,17,7,11,1950,1315,25,29260,94,0,0,30514,7,2,0.5,0,0,0,0,0,0,0,16,16,61278.80078125,23826,0,0,0,3,3,88,0,1,1,0
"59758",1,0,1,12,7,9,1947,3300,29,67298,3241,3,1,68761,11,1,0.699999988079071,1463,1463,0,0,0,0,0,11,NA,NA,9196,0,NA,0,2,48,30,0,1,1,0
"59806",0,0,1,12,6,12,1922,0,53,0,3511,0,1,80410.65625,23,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,0,NA,1
"59809",1,0,1,11,6,8,1928,1920,47,37620,4524,2,1,58632.859375,30,2,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,32,0,1,1,0
"59811",1,0,1,17,6,13,1942,2760,34,91960,5825,1,1,91960,16,1,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,31,0,1,1,0
"59819",0,0,1,12,9,11,1929,2016,46,29260,2014,0,NA,100236.3984375,14,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,NA,1
