"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"18761",0,NA,NA,12,NA,13,NA,0,46,0,1214,2,NA,155914,13,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,0,NA,1
"18773",1,0,1,12,10,8,1944,2075,31,50160,5634,3,1,83600,13,1,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,31,0,1,1,0
"18792",0,NA,NA,8,NA,6,NA,0,49,0,3452,0,NA,17192.33984375,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,0,0,NA,1
"18826",0,0,1,12,8,11,1923,2000,53,40128,1227,0,1,76410.3984375,20,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,NA,1
"18829",1,0,1,12,NA,9,NA,1067,28,29260,3846,0,1,75223.28125,11,NA,0.5,10433.2802734375,10433.2802734375,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,57,0,1,1,0
"18837",0,1,0,12,12,9,1950,0,25,0,3044,3,1,41800,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,0,NA,1
"18865",1,0,1,16,1,10,1943,2085,33,25932.720703125,1655,1,1,34848.66015625,14,2,0.5,0,0,0,0,0,0,0,12,12,66880,0,0,0,0,1,18,61,0,1,1,0
"18892",1,0,1,13,8,12,1947,2128,28,42218,5089,1,1,43555.6015625,10,2,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,92,0,1,1,0
"18901",0,1,0,16,3,10,1945,2032,31,37189.4609375,5288,0,0,37189.4609375,13,3,0.200000002980232,0,0,0,0,0,0,0,6,3,25080,12540,0,0,0,3,39,42,0,1,1,0
"18907",0,0,1,13,12,11,1945,80,30,752.400024414062,5166,2,1,38372.3984375,3,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,0,NA,1
"18949",0,0,1,14,11,11,1936,720,39,20900,346,2,1,126236,10,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,0,1,NA,1
"18963",1,0,1,11,3,8,1946,NA,30,NA,4622,2,NA,56760.21875,NA,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,8,11,40128,781.659973144531,0,0,0,1,37,NA,NA,NA,NA,0
"18965",0,0,1,16,1,12,1948,1260,28,33607.19921875,127,1,1,69555.203125,7,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,NA,1
"18990",1,0,1,16,4,12,1945,2940,32,85690,1794,3,1,85690,12,1,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,61,0,1,1,0
"19026",0,0,1,9,5,7,1931,2052,44,20900,1544,3,1,40161.44140625,12,NA,1.39999997615814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,0,NA,1
"19029",1,0,1,8,10,9,1920,2028,55,50160,3463,0,1,50536.19921875,37,2,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,33,0,1,1,0
