"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"47904",0,0,1,12,9,11,1912,NA,0,60,0,2352,0,0,14670.3203125,0.200000002980232,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,2,NA,0,0,1,0
"47934",0,0,1,13,12,13,1942,NA,1750,30,28944,3854,2,NA,82544,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"47936",1,0,1,14,9,13,1932,NA,2440,40,99160,4648,3,1,104788,0.800000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,32,0,1,1,0
"47976",1,1,0,3,7,9,1918,NA,1260,54,39664,4704,0,1,62390.3984375,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,4,55,0,1,1,0
"48026",0,0,1,12,5,11,1937,NA,400,36,2144,2328,1,1,87904,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"48057",1,0,1,17,7,10,1945,NA,NA,26,NA,1170,1,NA,62712,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,10,NA,NA,NA,NA,NA,0
"48065",0,0,1,16,1,11,1921,NA,1974,52,89512,117,1,0,115132.796875,0.699999988079071,0,5360,5360,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,92,0,1,1,0
"48070",1,1,0,7,10,9,1932,NA,2000,40,29480,5098,0,0,29480,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,92,0,1,1,0
"48082",0,NA,NA,12,NA,10,NA,NA,1248,34,13400,4301,2,NA,75147.203125,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"48088",0,0,1,14,10,11,1913,NA,0,59,0,2112,0,1,95472.3203125,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"48090",0,0,1,17,8,10,1922,NA,1120,50,69680,3250,0,1,185992,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,6,NA,NA,NA,NA,NA,1
"48100",0,1,0,11,7,9,1932,NA,0,40,0,2848,4,0,24698.880859375,1.70000004768372,0,24698.880859375,0,0,0,4608,NA,NA,NA,NA,NA,NA,0,3,8,NA,NA,0,0,1,0
"48102",0,0,1,4,NA,0,NA,NA,1976,47,27003.6796875,601,0,0,27003.6796875,0.200000002980232,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,86,0,1,1,0
"48182",1,0,1,13,NA,9,NA,NA,2390,26,87046.3984375,2656,1,1,87046.3984375,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,71,0,1,1,0
"48184",0,0,1,NA,NA,9,NA,NA,NA,43,NA,1478,0,NA,15822.7197265625,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,0
"48186",1,0,1,14,6,9,1930,NA,2016,42,80400,4647,3,1,80400,0.600000023841858,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,86,0,1,1,0
"48208",0,0,1,16,8,12,1915,NA,780,57,17152,4555,0,1,151580.796875,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"48227",0,0,1,10,4,11,1931,NA,NA,42,NA,884,0,NA,86296,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,0
"48238",0,0,1,7,2,10,1939,NA,0,34,0,2446,3,NA,39664,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"48290",0,0,1,14,6,7,1917,NA,1440,54,24120,4415,0,1,31173.759765625,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"48371",1,0,1,17,NA,12,NA,NA,1384,27,16080,1740,0,1,82008,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,88,0,1,1,0
"48377",1,0,1,17,3,10,1948,NA,2000,25,64320,3614,1,1,88440,0.699999988079071,0,0,0,0,0,0,NA,16,84688,0,0,0,0,2,21,NA,44,0,1,1,0
"48398",0,NA,NA,10,4,8,1943,NA,0,29,0,241,3,NA,80635.84375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"48425",1,0,1,13,NA,10,NA,NA,2448,52,NA,157,0,NA,77720,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,0,0
"48433",1,0,1,17,11,11,1927,NA,2430,45,91120,809,2,1,93800,0.600000023841858,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,48,NA,87,0,1,1,0
"48458",1,0,1,13,5,5,1947,NA,1640,25,27952.400390625,4946,1,1,35456.3984375,0.400000005960464,0,7504,0,7504,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,11,0,1,1,0
"48472",1,0,0,16,8,5,1933,NA,1960,39,67000,4591,1,1,152760,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,44,0,1,1,0
"48520",0,1,0,8,11,9,1920,NA,200,52,3216,2323,3,1,29651.51953125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"48548",1,0,1,12,4,10,1923,NA,1787,49,65954.796875,3198,1,1,71288,0.600000023841858,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,4,40,0,1,1,0
"48578",0,0,1,12,3,12,1934,NA,105,39,2948,4802,4,1,75313.359375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"48595",1,0,1,13,12,10,1927,NA,1980,45,45506.3984375,3017,1,1,83187.203125,0.600000023841858,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,55,0,1,1,0
"48619",0,0,1,12,3,11,1916,NA,1680,57,10720,4094,0,0,115347.203125,0.699999988079071,0,7718.39990234375,7718.39990234375,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,45,0,1,1,0
"48637",1,0,1,17,6,11,1931,NA,1530,41,53600,803,0,0,91120,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,3,23,NA,87,0,1,1,0
"48663",1,0,1,17,2,10,1917,NA,1953,56,76380,1249,2,1,136412,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,87,0,1,1,0
"48679",0,0,1,12,2,9,1946,NA,0,27,0,3825,2,1,67000,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,26,NA,NA,NA,NA,NA,1
"48682",0,0,1,12,7,11,1927,NA,0,45,0,4064,0,0,7268.16015625,0.200000002980232,0,1672.31994628906,0,1672.31994628906,0,0,NA,NA,NA,NA,NA,NA,0,1,37,4,NA,0,0,1,0
"48712",1,0,1,13,4,12,1922,NA,1920,51,80400,3704,0,1,86124.4765625,0.400000005960464,0,5724.47998046875,5724.47998046875,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,71,0,1,1,0
"48724",0,1,0,7,NA,0,NA,NA,0,44,0,178,1,0,6432,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,2,NA,0,0,1,0
"48734",0,0,1,12,11,11,1937,NA,180,35,3248.15991210938,107,1,1,139928.15625,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"48739",0,NA,NA,12,NA,12,NA,NA,0,28,0,3238,2,NA,150080,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"48749",1,0,1,12,6,9,1939,NA,2307,33,80132,1116,2,1,80400,0.600000023841858,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,51,0,1,1,0
"48777",1,0,1,17,8,11,1943,NA,2205,29,88976,4778,0,0,88976,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,29480,0,NA,0,2,12,NA,44,0,1,1,0
"48853",0,0,1,12,8,10,1925,NA,1920,48,26800,3757,0,1,91120,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"48865",1,0,1,13,1,10,1934,NA,3403,39,45779.76171875,3276,2,1,90048,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,NA,11,0,1,1,0
"48869",0,1,0,11,2,0,1930,NA,26,43,NA,360,2,0,6989.43994140625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,3,17,NA,NA,NA,NA,NA,0
"48913",1,0,1,12,4,11,1933,NA,2304,39,80400,2384,2,1,138288,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,44,0,1,1,0
