"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"16580",1,0,0,11,9,7,1962,2130,25,22713,3268,1,1,33245.3984375,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,35,0,0,1,0
"16594",1,0,1,13,7,10,1948,2100,39,34170,6189,1,1,77385,18,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"16605",1,1,0,14,2,7,1948,2008,40,88440,3099,2,1,148740,19,3,0,0,0,0,0,0,0,0,NA,12,9045,NA,NA,0,0,3,19,0,1,1,0
"16612",0,0,1,12,8,9,1960,2020,27,32160,1850,2,1,58390.5,4,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,NA,1
"16632",0,1,0,12,1,11,1934,1673,55,31647.44921875,5303,0,0,32652.44921875,34,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"16635",0,0,1,13,9,12,1938,1701,49,50250,6216,0,0,50250,10,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"16647",1,0,1,17,12,11,1951,1932,36,99426.65625,2159,2,1,194970,15,1,0,0,0,0,0,0,0,0,16,17,4321.5,0,0,0,0,2,21,0,1,1,0
"16676",1,0,1,11,8,10,1935,1958,52,50105.28125,3291,0,1,52919.28125,31,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"16678",0,1,0,11,6,11,1950,3872,37,11055,1585,1,0,11055,16,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"16679",1,0,1,17,6,11,1955,1654,32,50250,5344,2,1,98088,11,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"16680",0,0,0,1,6,6,1939,0,48,0,976,1,1,93063,NA,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,0,NA,1
