"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"41196",1,0,1,14,1,10,1953,2550,27,89590,6290,1,1,132940,5,0.400000005960464,0,0,0,0,0,0,0,0,11,14,70163.421875,0,0,0,0,3,42,44,0,1,1,0
"41231",1,0,1,6,3,8,1930,2025,50,62441.33984375,1639,1,1,80752.3828125,24,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,92,0,1,1,0
"41249",1,0,1,15,4,10,1932,2160,47,70163.421875,5658,0,1,94482.7734375,25,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,1,1,0
"41288",1,0,1,16,4,11,1951,1992,29,58378,2568,0,1,97826.5,7,0.300000011920929,0,0,0,0,0,0,0,0,12,9,132940,0,0,0,0,1,29,85,0,1,1,0
"41312",0,0,1,17,12,10,1937,1526,43,15562.650390625,3588,0,NA,56889.6484375,20,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,NA,1
"41365",1,0,1,16,6,10,1935,2430,44,59866.3515625,4654,2,1,125570.5,22,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,71,0,1,1,0
"41376",1,0,1,12,6,12,1947,2223,32,55488,1456,2,1,69071,11,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,33,0,1,1,0
"41379",1,0,1,14,11,12,1951,2000,28,60690,2350,2,1,60805.6015625,5,0.600000023841858,0,0,0,0,0,0,0,0,16,16,115600,47685,0,0,0,1,29,61,0,1,1,0
"41384",0,0,1,16,3,11,1950,1920,30,39015,1155,0,1,105918.5,11,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,NA,1
"41386",0,0,1,9,3,11,1924,0,56,0,320,0,0,6892.64990234375,24,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,3,45,NA,0,0,1,0
"41400",0,0,1,12,12,12,1921,0,58,0,902,0,1,38032.3984375,10,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,2,34,NA,0,0,NA,1
"41409",1,0,1,12,12,7,1929,3586,51,50575,2033,3,1,67045.109375,26,0.899999976158142,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,55,0,1,1,0
"41411",0,0,1,15,11,12,1953,2000,27,49130,6347,0,NA,260967,9,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,0,1,NA,1
"41427",0,0,1,13,6,11,1954,2375,26,24969.599609375,2558,2,1,70125.8515625,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,11,11,54910,12484.7998046875,0,0,0,1,31,NA,0,1,NA,1
"41441",1,0,1,15,1,10,1922,2300,59,49130,2733,0,1,58378,36,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,55,0,1,1,0
"41455",1,0,1,12,8,11,1930,2925,49,26010,582,0,1,53176,27,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,0,1,0
