"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"10341",0,0,1,12,9,12,1947,NA,0,36,0,2911,5,NA,39967.37109375,6,3,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,0,1,NA,1
"10363",0,1,0,12,7,7,1957,13,1908,26,NA,4606,0,NA,49326.6015625,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,0,0,NA,0,2,13,0,1,NA,0
"10364",1,0,1,13,9,8,1940,NA,2604,43,33892,1416,0,1,93342.6875,14,4,0.600000023841858,0,240.449996948242,240.449996948242,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,0,1,1,0
"10372",0,0,1,12,10,12,1950,NA,0,33,0,61,2,NA,25783.109375,3,1,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,0,0,NA,1
"10381",0,0,0,12,6,10,1958,5,696,25,17862,6601,2,1,38630.01171875,1,2,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,13,8,12540.0400390625,12961.400390625,0,0,0,2,40,0,0,NA,1
"10382",0,0,1,12,8,11,1957,24,320,26,824.400024414062,3899,3,1,70211.3984375,2,1,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,12,11,19465,0,0,0,0,4,49,0,0,NA,1
"10407",0,0,1,16,6,9,1930,NA,1920,53,41197.1015625,190,0,NA,82073.6015625,12,1,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"10415",1,0,1,11,9,13,1932,NA,NA,51,NA,3051,0,NA,8983.669921875,NA,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,183.199996948242,0,NA,0,3,32,NA,NA,NA,0
"10452",1,1,0,11,2,6,1956,17,1424,28,18320,1604,4,1,44377.91015625,8,1,1.20000004768372,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,27,0,1,1,0
"10456",1,0,1,17,3,12,1948,NA,2376,35,NA,5737,2,NA,133163.5,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,0,1,0,0
"10491",0,0,0,7,9,8,1924,NA,1435,58,14362.8798828125,2086,0,NA,31743.98046875,32,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,1,NA,1
"10496",0,0,1,11,6,8,1937,NA,0,46,0,3680,2,1,68700,1,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,0,0,NA,1
"10512",0,0,1,17,1,11,1955,6,1920,30,NA,2987,0,NA,141751,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,11,10,57250,35495,0,0,0,1,6,0,1,NA,0
"10515",1,0,1,14,6,11,1937,NA,2880,46,137400,3870,1,1,185261,20,1,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,1,1,0
"10521",0,1,0,12,2,6,1950,NA,2352,34,11450,6340,1,1,29770,NA,2,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,0,NA,0,3,1,0,1,NA,1
"10558",0,0,1,14,10,7,1955,34,2400,28,14885,5455,1,NA,69890.796875,3,2,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,10,12,11743.1201171875,38472,0,0,0,2,34,0,1,NA,1
"10574",0,0,1,14,7,9,1957,21,1000,26,19465,2279,0,1,76028,4,1,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"10575",1,0,1,14,9,10,1951,37,2100,32,38930,1770,2,1,95039.578125,4,3,1,0,462.579986572266,462.579986572266,0,0,0,0,0,10,12,0,41220,0,0,0,1,37,0,1,1,0
"10583",1,0,1,17,6,9,1943,NA,1701,40,73280,1919,2,1,102076.75,15,1,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"10591",1,1,0,12,3,10,1952,17,1560,32,NA,3135,1,1,62867.37109375,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,0,0
"10611",0,0,1,12,5,10,1956,24,0,27,0,4779,2,1,54960,1,2,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,0,NA,1
"10620",0,0,1,16,6,12,1952,48,360,31,4002.919921875,5716,2,1,41815.3984375,9,1,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"10626",1,0,1,13,12,11,1946,NA,1624,37,34808,293,2,1,36875.87109375,8,2,0.699999988079071,0,2067.8701171875,2067.8701171875,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,40,0,0,1,0
"10659",1,0,1,12,10,9,1957,4,776,26,14885,5778,2,1,15251.400390625,3,3,1.29999995231628,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"10660",1,0,1,14,5,10,1953,29,NA,30,NA,3990,0,NA,18329.16015625,NA,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,1,29,0,1,NA,0
"10667",0,0,1,12,4,12,1939,NA,0,45,0,4869,2,NA,109004,11,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,0,NA,1
