"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","height","weight","bmi","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"60004",0,0,1,16,1,13,1960,1199,26,26040,1422,0,1,154504,7,3,67,112,17.5397644042969,0,3255,3255,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"60007",1,0,1,14,11,12,1953,2092,32,49719.0390625,6067,0,1,105880.8125,13,2,68,145,22.0447673797607,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"60011",0,0,1,12,1,8,1953,777,33,8680,218,1,1,53392.8515625,10,2,63,210,37.1957664489746,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,0,NA,1
"60031",1,0,1,9,9,12,1941,2856,44,26040,1304,0,1,56420,25,3,69,160,23.6252880096436,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"60032",0,0,1,14,11,13,1930,30,55,217,1101,0,1,126077,17,4,69,155,22.886999130249,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"60033",1,0,1,12,12,7,1949,2312,36,86800,6245,5,1,88536,17,3,71,191,26.6361827850342,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"60040",0,0,1,12,3,13,1949,3060,37,16340.099609375,3200,2,1,89514.671875,8,2,68,150,22.804931640625,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,22,0,1,NA,1
"60055",1,0,1,12,3,12,1953,2500,33,NA,5891,0,NA,86800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,21700,0,NA,0,1,29,0,1,NA,0
"60058",0,1,0,9,6,5,1955,1764,30,8029,6169,4,0,8029,3,1,63,149,26.3912830352783,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,17,0,0,NA,1
"60069",1,0,1,12,4,11,1957,2169,28,32116,2338,2,1,32767,9,2,74,165,21.1824321746826,0,0,868,0,0,400,0,0,12,12,71610,0,0,0,0,2,34,0,1,1,0
"60071",0,0,1,16,12,10,1937,668,48,10259.759765625,2115,0,1,183983.453125,15,2,66,137,22.1099624633789,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,22,0,1,NA,1
"60080",1,0,1,12,1,8,1941,2550,45,32550,3560,0,1,42861.83984375,26,3,72,180,24.4097213745117,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"60094",0,1,0,12,7,9,1941,1880,44,26040,604,0,0,41299.44140625,26,3,66,187,30.179292678833,0,0,0,0,0,0,0,0,9,NA,NA,0,0,NA,0,3,16,0,1,1,0
"60098",1,0,1,11,3,11,1954,1728,32,30380,3582,1,1,73823.3984375,13,2,74,260,33.3783798217773,0,7464.7998046875,7464.7998046875,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,0,1,1,0
"60103",0,0,1,13,1,9,1938,2040,48,28210,3454,0,1,50031.51953125,26,3,61,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"60128",1,0,1,14,4,11,1960,2537,26,39060,5924,1,1,46004,7,3,69,170,25.1018695831299,0,6944,6944,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,17,0,1,1,0
"60130",0,0,1,12,8,7,1952,139,33,520.799987792969,3457,2,0,17051.859375,6,3,68,185,28.1260814666748,0,0,18588.220703125,0,0,948,0,7618,12,8,0,58590,0,0,0,4,4,0,0,1,0
"60140",1,0,1,16,12,8,1926,3120,59,65100,3526,0,1,142141.515625,37,1,68,165,25.0854244232178,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,0,1,1,0
"60143",1,0,1,16,2,9,1956,1570,30,26040,577,2,1,27884.5,11,2,74,195,25.0337829589844,0,0,868,0,0,400,0,0,12,12,17794,0,0,0,0,2,21,0,1,1,0
