"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"57592",1,0,1,12,9,11,1935,NA,3000,57,24750,4228,0,1,58905,31,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"57593",0,0,1,10,9,7,1960,13,0,32,0,6549,2,1,37950,2,3,0,0,0,0,0,NA,0,0,11,NA,NA,0,0,NA,0,2,13,0,0,NA,1
"57611",1,0,1,12,11,11,1950,NA,1560,42,33000,5692,0,1,43395,16,3,0,0,0,0,0,0,0,0,NA,12,0,NA,NA,0,0,2,22,0,1,1,0
"57620",1,0,1,12,10,10,1961,3,1560,31,41580,2355,2,1,49005,4,2,0,0,0,0,0,0,0,0,12,16,130350,5940,0,0,0,3,3,0,1,1,0
"57639",1,0,1,12,9,10,1943,NA,1932,49,63051.44921875,152,0,1,159493.953125,23,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"57664",1,0,1,12,3,12,1956,48,2450,37,56265,337,3,1,64716.30078125,11,1,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,2,48,0,1,1,0
"57689",0,0,1,16,7,10,1960,12,1864,32,28050,3346,2,1,57750,10,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"57695",1,0,1,16,12,12,1963,31,1970,29,46200,2615,0,1,70950,8,1,0,0,0,0,0,0,0,0,13,12,0,26400,0,0,0,1,31,0,1,1,0
"57718",1,0,1,16,3,10,1960,4,3060,33,247500,2266,1,1,385110,7,2,0,0,0,0,0,0,0,0,NA,14,99000,NA,NA,0,0,6,NA,0,1,1,0
"57741",0,0,1,16,6,12,1963,45,2000,29,39600,569,0,0,41451.30078125,11,2,0,0,0,0,0,0,0,0,17,15,136125,90750,0,0,0,3,45,0,1,1,0
"57784",0,0,1,14,12,6,1960,37,2083,32,29700,10000,1,NA,108207,9,1,0,0,0,0,0,NA,3432,0,11,10,39600,33000,0,0,0,1,37,0,1,NA,1
