"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"58597",0,0,1,12,5,11,1944,1080,50,42900,1706,0,NA,289766.875,20,1,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"58598",1,1,0,15,3,9,1949,2450,46,65521.55859375,4887,0,0,120121.5625,18,3,NA,12,0,NA,0,0,0,2,12,0,1,1,0
"58608",1,0,1,12,2,8,1952,1805,43,15598.4404296875,10268,0,0,16222.4404296875,18,5,NA,NA,NA,NA,NA,NA,0,2,22,0,1,1,0
"58609",1,0,1,14,3,5,1961,2910,34,56161.55859375,6033,2,1,78313.5625,6,1,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"58615",0,0,1,13,1,11,1942,0,53,0,3019,0,1,112323.1171875,NA,2,NA,NA,NA,NA,NA,NA,0,2,40,0,0,NA,1
"58625",0,0,1,12,11,7,1948,1846,46,62713.55859375,870,1,0,68017.5625,13,1,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"58628",1,0,1,12,9,9,1955,2650,39,49920,2143,2,1,75606.9609375,21,3,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"58664",0,0,1,12,11,11,1936,1175,58,9174.3603515625,1995,0,NA,26406.119140625,20,2,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"58689",0,0,1,12,6,10,1964,1083,30,15598.4404296875,3458,1,0,16768.439453125,8,1,12,10,50737.44140625,7488,0,0,0,3,39,0,1,1,0
"58702",1,0,0,10,1,10,1940,NA,55,NA,2872,2,NA,113100,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,0
"58707",1,1,0,13,10,7,1969,NA,25,NA,3963,0,0,66379.5625,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,0
"58710",1,1,0,15,4,8,1947,1653,47,52416,4301,0,0,52416,18,2,12,NA,NA,0,0,NA,0,3,19,0,1,1,0
"58720",0,0,1,16,2,10,1967,347,28,0,3926,2,NA,29839.6796875,5,2,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"58721",1,0,1,17,1,7,1950,2165,45,85801.5625,3460,2,1,112680.359375,11,2,12,8,NA,0,0,0,0,3,41,0,1,1,0
