"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"37284",0,0,1,13,7,11,1941,128,33,1547,3417,2,1,79339,4,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"37287",1,0,0,16,10,12,1943,1940,31,53040,1051,4,1,78353.34375,12,1.20000004768372,0,19523.140625,19523.140625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,31,0,1,1,0
"37290",0,NA,NA,NA,NA,8,NA,NA,52,NA,3334,4,NA,102102,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,NA,NA,NA,0
"37294",0,NA,NA,12,2,13,1941,2000,34,25636,1712,0,NA,53040,15,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"37318",1,0,1,17,12,11,1946,1920,28,53040,944,0,1,101218,8,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,87,0,1,1,0
"37339",0,0,1,14,1,10,1940,0,35,0,1622,3,1,57460,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"37362",1,0,1,11,4,8,1934,1960,40,66300,3316,4,1,66388.3984375,22,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,33,0,1,1,0
"37370",0,0,1,13,5,11,1947,560,27,8840,1316,0,NA,64991.6796875,7,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"37455",1,0,1,16,11,12,1947,2728,27,44703.87890625,3833,1,1,77350,9,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,71,0,1,1,0
"37482",0,0,1,12,8,12,1921,570,53,8840,1761,1,1,88400,21,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"37520",1,0,1,14,3,10,1928,3118,47,139230,3586,1,1,143650,34,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,51,0,1,1,0
"37541",0,0,1,12,11,11,1919,1152,55,11050,2141,0,1,49504,21,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"37581",1,0,1,16,10,9,1948,720,27,8398,612,0,1,65195,7,0.400000005960464,0,0,0,0,0,0,0,12,13,53040,0,0,0,0,1,6,NA,NA,1,0,1,0
"37631",0,0,1,13,NA,9,NA,1720,39,53040,3238,1,0,57636.80078125,21,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,32,0,1,1,0
"37650",1,0,1,12,9,10,1923,2050,51,38012,2640,1,1,82494.8828125,33,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,87,0,1,1,0
"37671",1,0,1,11,5,5,1923,1944,53,44836.48046875,2636,0,1,44991.1796875,34,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,NA,62,0,1,1,0
"37684",1,0,1,7,8,10,1928,2160,46,35360,3254,2,1,48620,28,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,44,0,1,1,0
"37732",1,0,1,8,NA,12,NA,3151,42,57460,5423,4,1,70278,23,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,40,0,1,1,0
"37762",1,0,1,14,5,8,1948,2448,26,53040,2326,0,1,75140,9,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,27,NA,62,0,1,1,0
"37769",1,0,1,14,1,10,1942,2530,33,18661.240234375,4236,2,1,44995.6015625,15,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,11,0,1,1,0
"37783",1,0,1,16,1,12,1949,4284,26,57460,3364,0,1,76068.203125,8,0.400000005960464,0,0,0,0,0,0,0,12,14,65858,33150,0,0,0,1,20,NA,83,0,1,1,0
"37806",1,0,1,12,NA,12,NA,1680,56,42675.1015625,5,0,1,89893.9609375,38,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,30,0,1,1,0
"37811",1,0,1,12,3,11,1937,1958,38,61880,5422,3,1,72488,20,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,31,0,1,1,0
"37864",1,0,1,12,NA,10,NA,510,55,7956,1411,0,1,28288,37,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,2,92,0,1,1,0
"37885",1,0,1,12,6,11,1943,2254,31,48178,2463,1,1,79471.6015625,13,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,31,0,1,1,0
"37888",1,0,1,12,1,10,1943,2268,32,79560,1898,3,1,95914,14,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,57,0,1,1,0
"37891",1,0,1,8,NA,8,NA,1992,25,57460,13,2,1,62764,8,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,NA,92,0,1,1,0
"37901",1,0,1,14,12,13,1944,2323,30,30056,4906,2,1,81805.359375,6,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,71,0,1,1,0
"37910",1,0,1,14,9,10,1947,3060,27,69394,2317,0,1,77350,9,0.5,0,0,0,0,0,0,0,12,NA,NA,27404,0,NA,0,1,31,NA,51,0,1,1,0
"37912",0,0,1,12,12,10,1945,0,29,0,3581,3,1,80444,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,NA,NA,1
