"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"4144",1,0,1,7,1,11,1926,NA,1837,45,48768.71875,235,0,1,73870.4375,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,2,34,NA,92,0,1,1,0
"4151",0,1,0,12,7,7,1935,NA,1980,36,7791,4173,2,1,41601,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,NA,1
"4171",0,0,1,17,1,12,1931,NA,950,40,41160,2785,2,1,205800,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"4172",0,0,1,10,2,10,1921,NA,1748,50,12936,370,2,0,24578.400390625,0.699999988079071,0,11642.400390625,11642.400390625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,87,0,1,1,0
"4188",0,NA,NA,16,NA,11,NA,NA,440,27,7056,3845,1,NA,42924,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"4193",1,1,0,14,9,10,1922,NA,2032,48,35726.87890625,4704,1,1,46751.87890625,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,87,0,1,1,0
"4265",0,0,1,6,6,9,1924,NA,0,46,0,2150,0,NA,15864.240234375,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,NA,1
"4283",1,0,1,17,3,11,1942,NA,1656,29,64974,789,0,1,124362,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,87,0,1,1,0
"4397",1,0,1,11,7,8,1940,NA,2080,31,29400,2556,2,1,31752,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,61,0,1,1,0
"4437",1,0,1,14,4,9,1920,NA,2530,50,64680,1547,1,1,136710,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,2,31,0,1,1,0
"4442",0,0,1,12,4,11,1922,NA,1950,48,12577.3203125,1647,0,1,34333.3203125,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"4453",0,0,1,7,6,8,1917,NA,1872,53,40254.48046875,1215,0,0,49544.87890625,0.300000011920929,0,4586.39990234375,4586.39990234375,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,61,0,1,1,0
