"birthyear","birthmonth","f_id","black","white","id","male","h_sentscore1972","birthstate","inc_labor","hours","edu","hhchildren","married","fam_inc","works","age","state","f_edu","m_edu","f_inc_labor","m_inc_labor","region","state","study","head","wife"
1964,7,5299001,1,0,5299010,0,9,23,NA,NA,NA,9,0,10670.400390625,NA,2,23,7,8,0,0,3,23,NA,0,0
1961,11,5299001,1,0,5299009,0,9,23,NA,NA,NA,9,NA,10670.400390625,NA,3,23,7,8,0,0,3,23,NA,0,0
1951,11,5299001,1,0,5299003,1,9,23,NA,NA,NA,9,0,10670.400390625,NA,16,23,7,8,0,0,3,23,NA,0,0
1959,12,5299001,1,0,5299008,0,9,23,NA,NA,NA,9,NA,10670.400390625,NA,6,23,7,8,0,0,3,23,NA,0,0
1955,8,5299001,1,0,5299006,0,9,23,NA,NA,NA,9,NA,10670.400390625,NA,12,23,7,8,0,0,3,23,NA,0,0
1957,1,5299001,1,0,5299007,0,9,23,NA,NA,NA,9,0,10670.400390625,NA,10,23,7,8,0,0,3,23,NA,0,0
1954,6,5299001,1,0,5299005,0,9,23,NA,NA,NA,9,NA,10670.400390625,NA,13,23,7,8,0,0,3,23,NA,0,0
1953,1,5299001,1,0,5299004,0,9,23,NA,NA,NA,9,0,10670.400390625,NA,15,23,7,8,0,0,3,23,NA,0,0
1958,8,5299001,1,0,5299011,0,9,23,NA,NA,NA,9,NA,10670.400390625,NA,9,23,7,8,0,0,3,23,NA,0,0
1958,10,5366001,1,0,5366012,0,7,32,NA,NA,NA,8,NA,48864.9609375,NA,9,32,6,6,20136.9609375,0,3,32,NA,0,0
1949,12,5366001,1,0,5366005,1,7,32,NA,120,NA,8,NA,48864.9609375,NA,18,32,6,6,20136.9609375,0,3,32,NA,0,0
1952,9,5366001,1,0,5366007,1,7,32,NA,60,NA,8,NA,48864.9609375,NA,15,32,6,6,20136.9609375,0,3,32,NA,0,0
1957,9,5366001,1,0,5366011,1,7,32,NA,NA,NA,8,NA,48864.9609375,NA,10,32,6,6,20136.9609375,0,3,32,NA,0,0
1948,3,5366001,1,0,5366003,1,7,32,NA,2080,8,8,NA,48864.9609375,NA,20,32,6,6,20136.9609375,0,3,32,NA,0,0
1955,7,5366001,1,0,5366009,0,7,32,NA,NA,NA,8,NA,48864.9609375,NA,12,32,6,6,20136.9609375,0,3,32,NA,0,0
1949,1,5366001,1,0,5366004,1,7,32,NA,780,7,8,0,48864.9609375,NA,19,32,6,6,20136.9609375,0,3,32,NA,0,0
1951,6,5366001,1,0,5366006,0,NA,32,NA,60,NA,8,NA,48864.9609375,NA,16,32,6,6,20136.9609375,0,3,32,NA,0,0
1956,10,5366001,1,0,5366010,0,7,32,NA,NA,NA,8,NA,48864.9609375,NA,11,32,6,6,20136.9609375,0,3,32,NA,0,0
1954,7,5366001,1,0,5366008,0,7,32,NA,NA,NA,8,NA,48864.9609375,NA,13,32,6,6,20136.9609375,0,3,32,NA,0,0
1965,11,5430227,1,0,5430010,1,8,39,NA,NA,NA,7,0,32832,NA,1,39,NA,NA,NA,NA,3,39,NA,0,0
1949,12,5437001,0,1,5437022,1,6,12,NA,NA,12,9,NA,96307.203125,NA,18,12,14,12,80028,0,2,12,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,9,5437001,0,1,5437012,1,10,12,NA,NA,NA,9,0,96307.203125,NA,2,12,14,12,80028,0,2,12,NA,0,0
1956,9,5437001,0,1,5437007,1,10,12,NA,NA,NA,9,NA,96307.203125,NA,11,12,14,12,80028,0,2,12,NA,0,0
1961,1,5437001,0,1,5437009,0,10,12,NA,NA,NA,9,NA,96307.203125,NA,7,12,14,12,80028,0,2,12,NA,0,0
1951,3,5437001,0,1,5437004,0,10,12,NA,300,NA,9,NA,96307.203125,NA,17,12,14,12,80028,0,2,12,NA,0,0
