"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","study","works","head","wife"
"40616",0,0,1,12,10,10,1915,624,54,7650.240234375,2189,0,1,14393.240234375,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,1
"40696",0,0,1,7,6,7,1922,15,47,91.9499969482422,834,0,1,65492.921875,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,1
"40701",1,0,1,9,NA,10,NA,1687,59,13443.08984375,1853,0,1,22282.55078125,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,NA,0,1,1,0
"40752",1,0,1,12,8,10,1944,2760,26,56396,1478,1,1,57965.28125,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,0,1,1,0
"40779",1,0,1,3,NA,3,NA,NA,47,NA,1950,4,NA,12431.6396484375,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,41,NA,NA,NA,0,NA
"40790",1,0,1,14,12,10,1918,2762,51,87536.3984375,968,2,1,98570.3984375,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,1,0
"40795",0,0,1,9,8,6,1928,2000,41,21148.5,3440,1,1,97399.5703125,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,1
"40804",0,0,1,12,8,12,1913,0,55,0,222,0,1,90858.859375,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"40816",0,0,1,12,1,8,1917,2080,53,9562.7998046875,2236,1,1,38668.0390625,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"40842",1,0,1,12,NA,10,NA,2840,34,53331,1192,2,1,46937.41015625,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,0,1,1,0
"40845",0,1,0,12,6,4,1941,1900,28,17311.119140625,4057,4,1,70329.4921875,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"40864",1,0,1,14,9,7,1931,2555,39,98080,1438,2,1,98080,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,1,0
"40875",0,0,1,11,11,10,1909,2100,60,19493.400390625,848,0,NA,34462.859375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,1
"40881",1,0,1,12,2,12,1941,2000,29,39845,3163,2,1,79690,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,1,0
"40907",1,0,1,12,6,10,1911,2205,59,48549.6015625,797,0,1,70311.1015625,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,0,1,1,0
"40937",1,0,1,9,6,8,1911,2000,58,30650,3571,0,1,61300,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,1,0
"40974",0,0,1,12,11,11,1926,0,43,0,879,3,1,132040.203125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,NA,NA,NA,1
"41008",0,1,0,3,1,5,1909,1500,56,18390,1300,1,1,117205.6015625,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"41022",0,0,1,9,9,7,1919,0,50,0,2004,1,1,42094.7109375,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,1
"41052",1,0,1,4,4,10,1915,3430,54,71567.75,1217,0,1,123734.046875,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,2,0,1,1,0
"41093",0,0,1,10,1,10,1915,0,55,0,2232,0,NA,27952.80078125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,1
"41130",1,0,1,17,5,12,1941,2173,28,73547.7421875,709,1,1,73547.7421875,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"41197",1,0,1,8,NA,11,NA,1632,60,30037,3263,2,1,88069.7109375,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,4,0,1,1,0
"41231",1,0,1,6,3,8,1930,1800,40,47893.69140625,493,4,1,59798.1484375,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,0,1,1,0
"41245",1,0,1,12,4,11,1913,2805,57,101145,2951,0,1,125665,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,1,0
"41249",1,0,1,15,4,10,1932,1984,38,69269,3019,4,1,101046.921875,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,0,1,1,0
"41294",0,0,1,14,3,11,1915,1976,55,55170,2226,0,0,55170,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,NA,0,1,1,0
"41312",0,0,1,17,12,10,1937,714,33,6743,3162,0,NA,61913,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,1
"41323",1,1,0,8,NA,3,NA,2016,37,23294,4195,0,0,23294,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,0,1,1,0
"41331",0,0,1,14,10,9,1914,0,55,0,3923,0,NA,30650,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"41365",1,0,1,16,6,10,1935,3315,34,54599.91015625,1355,1,1,89988.3984375,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,1,0
"41386",0,0,1,9,3,11,1924,2548,46,9195,2898,1,0,14099,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,1,0
"41400",0,0,1,12,12,12,1921,0,48,0,313,0,1,122600,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"41409",1,0,1,12,12,7,1929,3744,40,64365,1792,5,1,64365,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"41412",0,NA,NA,16,NA,12,NA,640,27,15938,3941,1,NA,80303,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"41441",1,0,1,15,1,10,1922,2500,49,83981,2724,2,1,91950,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"41455",1,0,1,12,8,11,1930,1470,39,61300,3444,2,1,114631,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,1,0
"41465",1,1,0,14,9,9,1944,2304,25,36780,3025,2,1,67430,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,1,0
"41466",0,0,1,12,9,11,1938,1800,31,24520,4130,0,1,71721,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"41467",1,0,1,12,9,10,1936,2112,33,55170,3460,3,1,61379.69140625,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,0,1,1,0
"41486",0,NA,NA,10,NA,11,NA,0,55,0,3320,0,NA,93396.6796875,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"41544",1,1,0,12,11,12,1927,2978,42,62679.25,800,1,1,115244,1,0,8827.2001953125,0,0,1440,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,0,1,1,0
"41556",0,NA,NA,14,NA,7,NA,0,56,0,627,0,NA,61300,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,1
"41580",0,0,1,16,12,12,1912,1596,60,47366.51171875,1527,0,1,94592.03125,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,1
"41652",1,0,1,11,2,12,1920,2300,50,91643.5,335,1,1,101145,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,1,0
"41683",0,0,1,12,6,12,1930,960,40,23907,4587,2,1,173049.90625,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,NA,1
"41749",0,0,1,8,8,10,1937,300,33,1373.11999511719,1187,6,0,28663.880859375,1.20000004768372,0,18463.560546875,18463.560546875,0,0,0,0,8,NA,NA,23600.5,0,NA,0,2,34,1,0,1,1,0
"41785",1,0,1,16,5,10,1945,2400,25,44749,922,1,1,68043,0.699999988079071,0,0,0,0,0,0,0,12,NA,NA,25991.19921875,0,NA,0,3,42,4,0,1,1,0
"41809",1,0,1,13,NA,10,NA,0,41,0,4212,2,1,36780,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,35,NA,0,0,1,0
"41856",0,0,1,12,9,12,1935,0,35,0,1966,4,1,83981,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,1
"41882",1,0,1,12,3,11,1923,2892,47,82755,746,2,1,133909.84375,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,0,1,1,0
"41917",0,0,1,11,2,9,1930,0,38,0,992,3,1,96854,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,1
"41919",1,0,1,9,5,11,1928,2000,41,79690,2020,2,1,83368,0.699999988079071,0,0,0,0,0,0,0,12,12,0,0,0,0,0,1,31,NA,0,1,1,0
"41935",0,0,1,12,6,10,1928,1600,41,22926.19921875,1790,1,1,92428.140625,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"41956",0,0,1,12,9,11,1924,0,45,0,3421,2,NA,121374,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,1
"41958",1,1,0,11,6,7,1939,NA,30,NA,2751,4,NA,53012.23828125,1.60000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3,3,NA,NA,NA,NA,0
"42002",0,0,1,15,10,10,1933,1750,34,NA,145,1,NA,117634.703125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,14,NA,71108,0,0,0,0,1,29,NA,NA,NA,NA,0
"42010",1,0,1,12,2,10,1939,2291,31,39845,4163,1,1,41156.8203125,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,1,0
"42032",1,0,1,12,NA,11,NA,1610,58,55170,328,0,1,57622,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,1,0
"42040",1,0,1,8,NA,NA,NA,2750,58,73560,2178,0,1,74356.8984375,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,1,0
"42112",0,1,0,17,11,13,1911,1824,58,42910,4568,0,1,119841.5,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,NA,1
"42119",0,0,1,14,9,11,1941,0,28,0,2807,3,1,99612.5,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,1
"42129",0,1,0,12,7,11,1936,1560,33,NA,937,2,NA,48279.87890625,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,3,42,NA,NA,NA,NA,0
"42153",1,0,1,9,6,7,1933,5248,36,18390,2996,6,1,18390,1.10000002384186,0,61293.87109375,0,0,9999,0,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,0,1,1,0
"42163",0,0,1,12,11,12,1945,0,25,0,76,2,1,49040,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"42211",1,0,0,NA,NA,3,NA,1640,39,42910,4532,4,1,48813.19140625,1.5,5903.18994140625,5903.18994140625,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"42235",0,0,1,17,2,11,1940,0,30,0,4268,2,1,41500.1015625,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,1
"42294",1,0,1,12,5,6,1914,1344,56,32489,3289,0,1,57009,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,0,1,1,0
"42313",0,1,0,5,7,8,1932,952,37,3678,4419,6,1,31569.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,1
"42338",1,0,1,12,4,11,1923,2125,47,122630.6484375,2957,2,1,125536.2734375,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,4,0,1,1,0
"42344",1,0,1,16,6,12,1921,1729,49,153250,3875,3,1,153250,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,2,0,1,1,0
"42345",0,0,1,9,11,9,1923,293,45,15067.5400390625,2886,1,1,24207.369140625,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,26,NA,NA,NA,NA,1
"42365",0,0,1,12,8,9,1934,1000,35,7356,3810,3,1,97926.75,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,1
"42380",0,0,0,12,8,10,1943,320,26,2942.39990234375,3254,3,1,94892.3984375,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"42424",1,0,1,10,5,11,1928,3020,41,67430,2196,3,1,68656,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,48,NA,0,1,1,0
"42453",1,0,1,12,NA,10,NA,2805,38,76625,2783,3,1,88885,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,NA,0,1,1,0
"42491",1,0,1,13,7,10,1922,2075,48,55170,4336,0,1,91950,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,4,0,1,1,0
"42492",1,0,1,12,6,11,1929,2310,41,107888,1437,3,1,112792,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,1,0
"42525",1,0,1,12,NA,12,NA,2352,47,65768.7734375,2059,0,1,71408.3671875,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,1,0
"42540",0,0,1,16,6,9,1932,100,35,1226,3854,2,1,113405,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"42555",0,0,1,5,6,8,1910,0,59,0,380,1,1,11794.1201171875,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,1
"42557",0,0,0,16,9,9,1918,720,51,14712,2626,0,1,210872,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"42575",0,NA,NA,12,1,10,1935,12,35,110.339996337891,533,6,NA,72058.1484375,1.10000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,1
"42608",1,0,1,12,2,11,1939,2486,31,62053.98828125,2585,0,1,65069.94921875,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,0,1,1,0
"42622",1,0,1,12,5,10,1917,2400,53,91950,239,0,1,131795,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,1,0
"42631",1,0,1,12,12,12,1929,2400,40,337150,143,2,1,337150,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,1,1,0
"42672",1,0,1,16,NA,11,NA,2160,49,128730,2376,3,1,146335.359375,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,3,0,1,1,0
"42684",1,0,1,10,2,10,1933,2664,36,49040,64,3,1,71108,1,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,3,39,NA,0,1,1,0
"42701",0,0,1,16,5,13,1930,165,40,2697.19995117188,3900,3,1,109389.8515625,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,1
"42747",0,0,1,15,5,12,1943,104,26,2452,1875,1,1,56089.5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"42770",0,0,1,17,5,12,1920,2860,50,62421.7890625,4196,0,0,66988.640625,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,3,9,NA,0,1,1,0
"42781",1,0,1,4,6,11,1931,2000,39,26359,2897,3,1,26359,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,1,0
"42826",1,0,1,14,9,11,1927,3380,43,41009.69921875,3845,0,1,68043,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,1,0
"42844",1,0,1,12,10,10,1911,2000,59,63427.109375,323,1,1,94898.53125,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"42847",0,0,1,12,6,12,1938,0,31,0,2023,4,1,110340,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"42848",0,0,1,12,9,9,1934,0,34,0,4499,3,1,67430,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,1
"42897",0,NA,NA,8,NA,7,NA,0,50,0,2114,0,NA,42910,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"42922",1,0,1,16,4,11,1923,2450,47,117696,1392,3,1,125665,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,1,0
"42941",1,0,1,6,NA,9,NA,1880,50,31876,1935,1,1,112589.7109375,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,4,0,1,1,0
"42949",0,0,1,16,11,13,1943,0,26,0,442,1,1,85869.0390625,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,1
"42956",0,1,0,11,NA,NA,NA,0,33,0,3070,0,NA,104210,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,1
"42982",1,0,1,3,5,4,1933,1500,37,NA,2103,0,NA,23036.5390625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,3,23,NA,NA,NA,NA,0
"43001",0,0,1,12,1,10,1910,0,60,0,50,0,NA,82325.8984375,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,1
"43026",0,0,1,10,NA,9,NA,960,26,14712,3003,2,NA,38006,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,1
"43053",0,0,1,12,4,8,1933,1560,37,11904.4599609375,493,4,1,59798.1484375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,1
"43065",0,0,1,12,2,11,1926,1715,45,33715,4333,1,1,132162.796875,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,1
"43075",0,0,1,12,7,11,1934,0,34,0,2041,1,1,153250,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,1
"43092",0,1,0,12,11,7,1911,2440,58,23269.48046875,3665,1,1,60337.58984375,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,NA,NA,NA,1
"43110",1,0,1,16,2,12,1922,3180,48,108010.6015625,3997,0,0,122600,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,40,NA,0,1,1,0
"43210",0,0,1,12,3,10,1931,520,32,9195,2856,2,NA,64978,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,1
"43227",1,0,1,11,NA,9,NA,3040,28,41806.6015625,512,1,1,67552.6015625,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,1,1,0
"43265",1,0,0,16,11,11,1940,880,29,27585,1796,0,0,27585,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,35,NA,1,0,1,0
"43297",1,0,1,13,NA,10,NA,1960,52,104210,3175,1,1,105436,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,1,0
"43330",0,0,1,16,4,10,1918,2860,47,49040,2961,0,0,72579.203125,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"43386",0,0,1,12,NA,11,NA,1862,48,23294,2976,0,0,23294,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"43391",1,0,1,12,5,9,1924,4030,45,33806.94921875,2466,0,1,44136,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,0,1,1,0
"43399",1,0,1,14,5,13,1937,4992,33,57425.83984375,3556,6,1,81381.8828125,1.10000002384186,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,0,1,1,0
"43441",1,0,1,12,5,12,1931,2040,38,108396.7890625,2796,2,1,211766.984375,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,0,1,1,0
"43444",1,1,0,8,4,7,1932,2068,38,22068,2073,5,1,38006,1.39999997615814,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,NA,0,1,1,0
"43475",1,0,1,13,3,9,1930,NA,40,NA,2079,0,NA,70396.921875,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,42,NA,NA,NA,0,NA
"43516",1,0,1,12,8,6,1926,1940,43,55783,3540,0,1,57885.58984375,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,0,1,1,0
"43541",0,0,1,12,1,10,1917,520,53,15938,4402,0,1,93543.796875,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,NA,NA,NA,1
"43568",0,0,1,12,7,11,1943,1760,26,24520,337,3,1,67430,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,1
"43590",0,0,1,12,4,9,1938,580,32,15938,3765,3,1,53944,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"43591",1,0,1,14,5,10,1911,2070,58,37086.5,1138,0,1,62194.98046875,0.5,1471.19995117188,5884.7998046875,0,0,720,0,0,NA,NA,NA,NA,NA,NA,0,4,4,2,0,1,1,0
"43606",0,0,1,12,11,8,1943,0,26,0,2206,3,1,64365,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,1
"43615",1,0,1,3,NA,NA,NA,1800,54,11034,1264,4,1,22135.4296875,1.70000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,4,0,1,1,0
"43656",1,0,1,12,2,9,1934,2075,36,37393,1476,2,1,64536.640625,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,0,1,1,0
"43665",0,0,1,12,3,9,1917,2000,53,17114.9609375,3924,0,NA,67264.4921875,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"43671",1,0,0,6,11,8,1926,2350,43,67430,4034,3,1,101145,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,1,0
"43735",0,1,0,12,5,7,1935,1470,34,15938,2073,5,1,38006,1.39999997615814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,1
"43744",1,0,1,7,5,12,1921,2096,49,31348.8203125,299,2,1,72677.28125,1.20000004768372,0,61293.87109375,0,0,9999,0,0,NA,NA,NA,NA,NA,NA,0,3,17,NA,0,1,1,0
"43790",1,0,1,17,6,11,1944,3520,26,33715,1672,0,1,35554,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,0,1,1,0
"43819",0,0,1,13,11,10,1927,1960,42,33715,2006,2,NA,75399,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,1
"43822",1,0,1,16,NA,NA,NA,2210,39,67430,216,0,1,131795,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,0,1,1,0
"43836",0,NA,NA,12,NA,13,NA,0,26,0,233,3,NA,122600,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,1
"43837",0,0,1,17,7,7,1944,1878,25,40764.5,4301,0,0,41990.5,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,1,0
