"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","study","works","head","wife"
"68451",0,0,1,8,NA,9,NA,2100,48,30521.26953125,1331,0,0,36038.26953125,0.200000002980232,0,5517,5517,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,1,0
"68484",1,0,1,6,12,8,1923,791,46,6007.39990234375,3553,2,1,33163.30078125,1.20000004768372,0,13976.400390625,0,13976.400390625,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,3,0,0,1,0
"68525",0,NA,NA,11,NA,8,NA,0,43,0,2081,2,NA,73560,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"68538",1,0,0,7,NA,NA,NA,2756,45,46943.5390625,4421,2,1,99888.3515625,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,0,1,1,0
"68580",1,0,1,15,12,10,1921,2244,47,79690,1545,2,1,152912.84375,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,NA,0,1,1,0
"68635",1,0,1,12,10,10,1923,2172,45,49040,389,0,1,81896.796875,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,1,0
"68688",0,0,1,12,5,10,1928,0,41,0,2784,5,1,69054.453125,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,NA,NA,NA,NA,1
"68709",1,0,1,12,1,10,1913,4626,58,41279.421875,186,3,1,57879.4609375,0.600000023841858,0,3678,0,0,0,0,600,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,1,0
"68724",0,NA,NA,10,NA,11,NA,350,50,3065,281,1,NA,103290.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"68728",1,0,1,17,10,10,1934,2450,35,82755,2812,5,1,84594,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,1,1,0
"68734",0,0,1,11,7,6,1935,2250,34,22821.990234375,2237,6,1,62483.08984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"68737",1,1,0,4,6,5,1920,1968,49,30852.2890625,3063,1,1,31005.5390625,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,1,1,0
"68738",0,1,0,15,9,8,1943,NA,26,NA,748,3,NA,66400.15625,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,16,44577.359375,0,0,0,0,3,32,NA,NA,NA,NA,0
"68793",1,0,1,12,12,8,1935,2175,34,42297,2410,1,1,82509.796875,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,0,1,1,0
"68798",0,0,1,14,9,9,1918,1200,51,NA,659,0,NA,128730,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,0
"68802",0,0,1,8,10,9,1926,390,44,2452,1326,2,1,96547.5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"68811",0,0,1,14,6,11,1937,1960,33,45975,2367,1,0,45975,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"68818",1,0,1,8,NA,5,NA,NA,45,NA,4458,4,NA,87101.171875,1.10000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,0,NA
"68820",1,0,1,8,8,10,1921,2165,49,43400.3984375,592,2,1,61214.1796875,1,0,61293.87109375,0,0,9999,0,0,NA,NA,NA,NA,NA,NA,0,4,5,4,0,1,1,0
