"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"50176",1,1,0,7,9,9,1930,NA,2500,43,28980,2145,2,1,39296.87890625,25,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,51,0,1,1,0
"50264",1,0,1,14,6,13,1946,NA,1920,27,40572,5270,2,1,48300,10,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,92,0,1,1,0
"50273",1,0,1,12,7,8,1922,NA,1395,51,30791.25,2946,0,1,82351.5,33,0.400000005960464,0,10915.7998046875,10915.7998046875,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,48,NA,30,0,1,1,0
"50276",0,0,1,16,6,12,1912,NA,0,55,0,3335,0,1,159390,5,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"50292",1,0,1,16,11,11,1937,NA,2530,36,108675,2267,3,1,111621.296875,20,0.699999988079071,2221.80004882812,2221.80004882812,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,NA,71,0,1,1,0
"50295",0,0,1,11,4,9,1935,NA,2400,39,17151.330078125,2257,2,0,22947.330078125,5,0.699999988079071,0,0,0,0,0,7245,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,61,0,1,1,0
"50321",1,0,1,16,5,10,1933,NA,2205,41,67620,2787,4,1,68586,23,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,31,0,1,1,0
"50328",0,0,0,8,3,6,NA,NA,2080,27,19320,2797,1,NA,83076,2,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,6,NA,NA,NA,NA,NA,1
"50336",1,0,1,12,11,9,1941,NA,2080,33,33810,57,1,1,57984.1484375,15,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,86,0,1,1,0
"50346",1,0,1,16,NA,10,NA,NA,0,59,0,1453,0,0,29110.41015625,32,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,3,NA,0,0,1,0
"50370",0,0,1,15,NA,11,NA,NA,1960,25,41538,37,0,0,46368,4,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,86,0,1,1,0
"50390",0,0,1,16,4,8,1941,NA,1152,31,28980,2849,2,1,109158,13,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"50392",0,0,1,15,5,12,1926,NA,2025,47,41538,339,1,1,88437.296875,17,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,NA,NA,NA,NA,NA,1
"50401",1,1,0,17,10,10,1945,NA,1760,28,72450,5444,2,1,72450,10,0.699999988079071,0,0,0,0,0,0,0,NA,NA,84766.5,48300,0,0,0,1,37,NA,87,0,1,1,0
"50429",1,0,1,10,3,10,1940,NA,2010,34,33327,2660,2,1,33327,16,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,44,0,1,1,0
"50430",1,0,1,14,9,7,1947,NA,1980,26,20044.5,3041,0,0,24584.69921875,8,0.200000002980232,4395.2998046875,4395.2998046875,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,4,92,0,1,1,0
"50457",0,0,1,12,5,12,1924,NA,0,49,0,1976,2,1,150454.5,8,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"50520",0,0,1,16,6,11,1929,NA,400,44,19320,3771,3,1,77280,23,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"50553",1,1,0,12,12,11,1937,NA,2860,36,96600,4049,3,1,132825,18,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,87,0,1,1,0
"50570",1,0,1,12,7,12,NA,NA,1862,29,NA,5296,1,NA,38277.75,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,0,0
"50600",1,1,0,14,5,6,1947,NA,2352,26,48300,392,3,1,49806.9609375,8,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,30,0,1,1,0
"50646",1,0,1,16,3,12,1930,NA,2151,44,74865,3349,0,0,86940,22,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,1,28,NA,42,0,1,1,0
"50647",0,0,1,12,3,13,1927,NA,0,48,0,4517,1,1,121716,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"50657",1,0,1,13,3,9,1944,NA,2375,30,101430,1813,2,1,101430,11,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,51,0,1,1,0
"50671",0,0,1,14,1,9,1948,NA,720,26,9234.9599609375,5354,2,1,49531.6484375,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,NA,1
"50674",1,0,1,14,NA,10,NA,NA,0,55,0,5038,0,1,40572,29,0.400000005960464,0,10085.0400390625,10085.0400390625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,3,NA,0,0,1,0
"50683",0,0,1,17,12,10,1948,NA,0,25,0,412,0,NA,86940,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"50700",1,0,1,16,12,12,1934,NA,2400,39,241500,1630,3,1,328440,19,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,51,0,1,1,0
"50708",0,0,1,6,2,10,1927,NA,0,47,0,4670,1,NA,50888.87890625,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"50792",0,0,1,16,1,10,1940,NA,1260,34,33810,4923,2,1,43470,7,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"50859",0,0,1,12,2,9,1929,NA,1575,45,14490,2952,2,1,67537.890625,22,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"50861",1,0,1,15,6,11,1948,NA,2450,25,48338.640625,4100,0,0,50270.640625,5,1,0,0,0,0,0,0,0,16,NA,NA,0,0,NA,0,3,9,NA,92,0,1,1,0
"50907",1,0,1,17,7,11,1946,NA,3120,27,57960,2412,0,1,78125.25,9,0.300000011920929,0,0,0,0,0,0,0,12,16,79695,24150,0,0,0,2,15,NA,91,0,1,1,0
"50922",1,0,1,8,8,9,1932,NA,3900,41,33568.5,3519,2,1,64239,23,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,NA,83,0,1,1,0
"50962",1,0,1,15,NA,11,NA,NA,2448,25,28980,2175,2,1,30912,6,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,61,0,1,1,0
"51024",1,0,0,12,4,6,1945,NA,3833,28,101430,3613,2,1,113988,10,0.699999988079071,0,0,0,0,0,0,0,NA,NA,67620,24150,0,0,0,2,12,NA,30,0,1,1,0
"51048",1,0,1,9,2,7,1916,NA,2530,58,70518,364,0,1,72450,39,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,43,0,1,1,0
"51049",1,0,1,12,6,9,1929,NA,2130,44,65688,1133,4,1,71822.1015625,24,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,NA,33,0,1,1,0
"51061",1,0,1,14,3,10,1948,NA,2945,26,51681,1710,0,1,73657.5,8,0.400000005960464,0,0,0,0,0,0,0,NA,12,90321,0,0,0,0,2,34,NA,51,0,1,1,0
"51062",0,0,1,14,NA,12,NA,NA,840,48,28980,2108,1,NA,246330,12,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"51072",0,0,1,11,6,10,1934,NA,0,40,0,3390,6,1,51598.890625,NA,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
