"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","height","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"20869",1,0,1,12,2,12,1958,2440,39,66600,6112,3,1,89569.6015625,9,1,72,12,13,37000,37000,0,0,0,1,29,0,1,1,0
"20886",0,0,1,NA,1,9,1947,2080,50,37000,5608,0,NA,63048,NA,2,66,NA,NA,NA,NA,NA,NA,0,3,35,0,1,NA,1
"20900",0,0,1,12,7,12,1955,2080,41,14800,2776,0,NA,66600,16,3,65,NA,7,0,NA,NA,0,0,3,45,0,1,NA,1
"20915",1,0,1,9,6,5,1947,0,49,0,4795,0,1,64291.19921875,19,5,67,NA,NA,NA,NA,NA,NA,0,3,42,0,0,1,0
"20941",0,0,1,17,10,12,1951,2080,45,35520,2641,0,0,35520,25,1,65,NA,NA,NA,NA,NA,NA,0,3,9,0,1,1,0
"20972",0,0,1,16,2,8,1961,2480,36,66600,5578,2,NA,109608.625,17,2,62,NA,NA,NA,NA,NA,NA,0,4,2,0,1,NA,1
"20974",1,0,1,12,4,8,1954,2058,42,51800,1965,1,1,94720,NA,2,71,NA,NA,NA,NA,NA,NA,0,4,5,0,1,1,0
"20976",1,0,1,12,9,11,1969,NA,27,0,1380,0,0,99313.921875,NA,NA,NA,11,13,43660,0,0,0,0,3,3,0,0,NA,0
"20977",0,0,1,12,9,12,1956,2486,41,32560,5536,0,0,68198.3984375,14,2,69,12,14,0,0,0,0,0,4,43,0,1,1,0
"20979",0,0,1,17,3,NA,1941,1600,55,53280,1043,1,1,103896,22,1,67,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"20992",0,0,1,11,9,11,1957,1472,39,17760,6049,0,NA,73952.640625,15,3,NA,NA,NA,NA,NA,NA,NA,0,2,13,0,1,NA,1
"21023",0,0,1,17,10,9,1949,1374,47,13912,1499,2,0,60384,9,3,65,NA,16,0,NA,NA,0,0,4,2,0,1,1,0
"21042",1,0,1,14,4,12,1969,2892,27,62160,4124,0,0,120398,2,2,69,13,17,142080,0,0,0,0,1,20,0,1,1,0
"21072",0,0,1,13,4,11,1955,2080,41,81400,2118,0,1,193288,12,1,63,14,NA,NA,0,0,NA,0,2,12,0,1,NA,1
"21075",0,0,1,12,9,13,1950,2480,46,88800,2241,0,1,92500,13,1,64,12,NA,NA,0,0,NA,0,1,37,0,1,NA,1
"21076",0,1,0,12,12,8,1959,NA,37,0,5918,2,0,4885.47998046875,NA,NA,NA,3,9,0,0,0,0,0,3,32,0,0,NA,0
"21089",0,0,1,12,11,11,1946,2000,50,47360,869,0,NA,93092,21,1,65,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"21097",0,0,1,12,8,11,1943,2440,53,29600,286,0,0,47360,15,3,66,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"21109",0,1,0,16,9,4,1954,1642,42,47360,1469,2,0,52858.19921875,20,2,62,NA,NA,NA,NA,NA,NA,0,1,29,0,0,1,0
"21114",1,0,1,16,9,12,1967,NA,29,NA,5420,0,NA,162202.078125,NA,NA,NA,16,16,82433.0390625,79325.0390625,0,0,1,4,4,NA,NA,NA,0
"21121",1,0,1,16,3,6,1969,1813,27,41440,1142,0,1,63640,8,3,70,NA,NA,NA,NA,NA,NA,0,3,9,0,1,1,0
"21129",0,0,1,14,5,8,1959,2096,37,29600,1706,1,1,73274.796875,15,1,65,12,12,0,0,0,0,0,2,34,0,1,NA,1
"21175",0,0,1,17,10,13,1942,2160,54,94720,5307,0,1,207644,31,2,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"21180",1,0,1,15,9,9,1960,3120,36,91760,2299,1,1,91789.6015625,7,1,70,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"21186",0,0,1,12,6,12,1966,2024,30,17760,1118,0,1,45905.16015625,5,2,66,NA,NA,NA,NA,NA,NA,0,3,16,0,1,NA,1
"21208",0,0,1,12,4,12,1959,475,37,5920,348,2,1,47695.9609375,3,2,67,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"21212",0,1,0,12,5,10,1961,1710,35,36260,235,2,0,45086.71875,5,2,62,12,NA,NA,0,0,NA,0,3,8,0,1,1,0
"21219",1,0,1,16,6,9,1959,2496,37,97680,3872,3,1,160417.203125,7,1,70,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"21220",1,0,1,14,10,10,1949,2000,47,76960,2113,1,1,127206,17,2,72,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
