"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"38255",0,0,1,16,0,30,0,4152,0,1,36480
"38258",1,0,1,16,2430,42,74332.796875,2668,2,1,184416
"38263",0,0,1,17,1250,35,9600,3495,2,1,130560
"38296",0,0,1,10,1200,53,8832,2450,0,0,37632
"38312",1,0,1,9,2304,50,82560,82,0,1,83443.203125
"38342",1,0,1,10,1771,30,38400,1993,1,1,76800
"38359",1,0,1,14,2202,29,81120,6425,0,1,110181.1171875
"38383",0,0,1,12,0,60,0,135,0,0,31983.359375
"38385",1,0,1,7,0,53,0,5071,0,0,34329.6015625
"38390",0,0,1,12,0,35,0,5465,3,1,66048
"38443",0,0,1,12,1530,28,13632,4170,0,1,40512
"38458",1,0,1,12,2172,40,0,3295,2,1,41203.19921875
"38463",1,0,1,15,2410,39,144000,1675,2,1,147648
"38478",1,0,1,12,2113,26,50688,5348,0,1,89472
"38504",1,0,0,13,3640,45,61094.3984375,5249,0,1,160560
"38538",0,0,1,12,151,34,1534.07995605469,3909,3,1,35274.23828125
"38543",0,1,0,17,2040,30,45120,1953,1,0,47516.16015625
"38546",0,0,1,17,1710,34,12764.16015625,2496,2,1,66374.3984375
"38570",0,0,1,14,1888,40,66478.078125,2889,2,0,87091.203125
"38571",0,0,1,12,0,39,0,1494,1,1,49324.80078125
"38581",1,1,0,8,2704,45,19200,6710,5,1,41402.87890625
"38590",1,0,1,12,2623,34,38400,5566,0,1,84896.640625
"38591",1,0,1,9,1974,56,68640,5790,0,1,121866.2421875
"38603",1,0,1,17,2500,51,806400,6782,0,1,892953.625
"38620",1,0,1,13,2000,38,53760,3072,1,1,56064
"38623",1,1,0,12,1600,42,77712,492,1,1,91190.3984375
"38624",0,0,1,12,3024,37,33120,3793,2,0,35800.3203125
"38650",1,0,1,17,2580,43,80640,3363,2,1,130560
"38655",1,0,1,16,3414,30,42528,6041,1,1,44832
"38657",1,0,1,16,3120,49,28800,5835,0,0,42048
"38669",1,0,1,16,1880,47,96000,5188,2,1,168921.59375
"38682",1,0,1,16,1790,30,55680,5588,0,1,175488
"38683",1,0,1,17,1560,31,36480,3976,2,1,43284.48046875
"38729",1,0,1,8,0,53,0,4783,0,1,46080
"38742",1,0,1,17,2000,33,19555.19921875,4406,3,1,34239.359375
"38765",1,0,1,10,1472,48,11598.7197265625,5471,2,1,68010.2421875
"38775",1,0,1,10,2880,51,153600,2313,0,1,231360
"38778",0,0,1,12,780,29,7862.39990234375,3988,2,1,33475.19921875
"38779",1,0,1,14,2730,37,78720,4512,0,0,104363.5234375
"38785",1,0,1,12,2695,27,34944,3073,3,1,56832
"38811",0,0,1,17,432,52,69984,6186,0,1,213715.203125
"38827",0,0,1,12,2012,35,46080,2458,0,1,132864
"38851",0,0,1,17,1920,43,67292.15625,3158,0,0,72476.15625
"38868",0,0,1,11,1940,35,34560,4393,2,0,49920
"38876",0,1,0,13,1905,29,35827.19921875,4208,0,0,35831.0390625
"38877",1,0,1,17,522,59,25920,6270,0,1,87552
"38889",0,0,1,16,0,36,0,2130,3,1,109440
"38929",0,0,1,12,1880,33,36480,4101,0,1,115219.203125
"38932",1,0,1,17,2430,40,134400,5717,3,1,151680
"38969",0,0,1,12,0,53,0,2147,0,1,30155.51953125
"38990",1,0,1,17,3120,43,115200,5893,2,1,136320
"39004",1,0,1,12,2090,50,40300.80078125,228,1,1,112320
"39058",1,0,1,12,2720,46,16473.599609375,2359,0,1,51033.6015625
"39066",0,0,1,13,3048,40,76846.078125,5933,1,0,141388.796875
"39076",1,1,0,6,2010,54,49920,1359,0,1,49920
"39079",0,0,1,9,1663,33,13169.2802734375,1964,2,1,34944
"39083",1,0,1,12,2245,57,44160,3029,2,1,92332.796875
"39085",1,0,1,12,2296,31,78720,4101,0,1,115219.203125
"39091",1,0,1,17,2250,48,96000,5437,2,1,144960
"39097",0,0,1,12,1764,32,28137.599609375,1102,2,1,79092.4765625
"39141",0,1,0,13,0,29,0,5624,3,0,4838.39990234375
"39145",1,0,1,17,1508,38,49920,813,2,1,94848
"39181",1,0,1,17,2750,29,124800,2937,0,1,180480
"39184",1,0,1,16,130,42,192,34,2,1,40281.6015625
"39190",1,0,1,16,3258,56,297600,367,0,1,319104
"39197",1,0,1,14,2000,34,17280,3561,0,0,17280
"39198",1,0,1,12,3120,42,11520,6033,0,1,43200
"39201",1,0,1,7,2448,47,61440,1717,0,1,135745.921875
"39229",1,0,1,13,1552,35,67411.203125,2385,7,1,76640.640625
"39231",0,0,1,16,0,43,0,3765,4,1,61983.359375
"39249",1,0,1,13,3120,57,38400,4243,0,1,86784
"39253",1,0,1,12,1295,59,96000,2190,0,1,177984
"39291",1,0,1,16,1792,40,108864,5328,2,1,109344
"39302",0,0,0,16,672,44,5287.68017578125,6086,0,1,72670.078125
"39308",0,0,1,16,2879,25,36096,2531,0,1,66912
"39389",0,0,1,12,1568,34,28800,1031,0,1,54247.6796875
"39393",1,0,1,11,2328,32,44736,4249,3,1,44736
"39397",1,0,1,6,0,49,0,4883,0,0,12672
"39417",0,0,1,12,1952,38,26880,3133,1,1,50534.3984375
"39435",1,0,1,11,2684,29,42048,1092,3,1,42048
"39440",1,0,1,12,2000,32,53760,4351,3,1,84480
"39449",1,0,1,16,2232,32,61440,4624,2,1,64704
"39460",1,0,1,17,3000,47,249600,5536,1,1,299520
"39514",1,0,1,16,4000,41,0,5730,2,1,1.91999995708466
